quant,L1,L2,a1,a2,b1,b2
60,37.2212058488696,33.5209839014238,-5.07683154068123,0.542413751359466,1.27657408430384,-0.139098184229236
61,37.3861653647263,33.6415917298474,-5.04751161578915,0.568799985094501,1.30943740712149,-0.124635479711233
62,37.5210528872421,33.7679876005557,-5.01905403737935,0.595520748995299,1.34248149272088,-0.0637010463236223
63,37.6566154871101,33.8927001019889,-4.99498514829821,0.621430644146557,1.39082478814372,0
64,37.7950056103164,34.0069432900654,-4.96550283808165,0.650911753516457,1.40713906137884,0.0179407408848586
65,37.9316125400258,34.1308085414027,-4.93820311527921,0.683449151099691,1.42134745881615,0.055313927626921
66,38.0729887456922,34.2621177129909,-4.9079205789167,0.717382923027316,1.46259441136495,0.127780311991144
67,38.2143956814113,34.3736582121672,-4.88147511954534,0.742599541893306,1.50767251673922,0.143490100896448
68,38.3320087095013,34.4767671214357,-4.85132113704901,0.764292621247941,1.52932988943901,0.174229797282222
69,38.4453624747647,34.5912121258142,-4.82460993866019,0.789349609369713,1.53902743453169,0.239695413268828
70,38.5746357324451,34.702231366698,-4.80007267957061,0.814540412782505,1.55124190229982,0.268651263045294
71,38.6889080793142,34.8107068817941,-4.77625164589133,0.841909981044386,1.5836610847032,0.290303720273594
72,38.7956318208304,34.9141345810829,-4.75189648317906,0.866681285261159,1.62033118440372,0.328247502411583
73,38.9186867682585,35.0191517079606,-4.72581066607819,0.894333074480225,1.65374012643135,0.387603431390549
74,39.0278790507174,35.1199979777104,-4.69900504756887,0.921328373865438,1.66733873276073,0.411141385673686
75,39.139468037764,35.2206552490056,-4.66947695311409,0.942674035657791,1.69088745967723,0.444153548925478
76,39.2507402261621,35.3269885376965,-4.64368747652559,0.963591428072827,1.71842517691655,0.486719686141286
77,39.3580510636014,35.4333386629452,-4.62200247366442,0.986326709551899,1.76188918193333,0.521102560775155
78,39.4575269952653,35.5246290343777,-4.60072747554638,1.00819783869659,1.78447056087325,0.540300984613768
79,39.5539928184679,35.61469111283,-4.57976393253401,1.03330181805121,1.792648114582,0.570685020669359
80,39.6661276561618,35.7006339252463,-4.55666982834951,1.05962713060048,1.79655675151822,0.61206428749382
81,39.7652531328716,35.7899647391444,-4.53416226250669,1.08695206781515,1.80666732886347,0.645272803713626
82,39.8507338009381,35.8846678184841,-4.50729502800829,1.1094251451229,1.83430522422432,0.652824785001172
83,39.9394922872081,35.9792463523441,-4.48352392092205,1.12737246109917,1.86984396213672,0.657250348807859
84,40.0403790454192,36.0639483833959,-4.46235716803099,1.14686093526477,1.90419151206594,0.662798929989128
85,40.1231177484885,36.1455266893005,-4.44107008798006,1.1675663009072,1.91220753948727,0.686926636452334
86,40.2046866415948,36.2311305036668,-4.42194967412723,1.18739312335447,1.91837155445804,0.716426440427431
87,40.2875543541808,36.3090883394806,-4.40275039495058,1.2110344347384,1.92254791833186,0.759403033613628
88,40.3809144665209,36.3862758171632,-4.38024363647715,1.23199439427213,1.92465669050879,0.772636492027123
89,40.4678751391935,36.4670943952662,-4.3560759792925,1.24971455188866,1.92891625067433,0.787004468656738
90,40.5531500306378,36.5486485075229,-4.33420871862633,1.26842129440929,1.93323298056325,0.793447471845021
91,40.6355851843068,36.6234938271909,-4.31542246986294,1.29261758879573,1.94102369328573,0.807460833037875
92,40.7114649778501,36.6976402065917,-4.29495454619172,1.30974885893041,1.96278860602501,0.836834720957635
93,40.7944343935694,36.7746928599562,-4.27420094360781,1.32704222917455,1.98797848923178,0.874323198538647
94,40.8703568453245,36.8509842215227,-4.25810409386862,1.34581643782415,2.01794889216202,0.901644717244321
95,40.94657642851,36.9287709768427,-4.24026885861434,1.36402129018394,2.03362132647975,0.923622097852323
96,41.0217998992219,37.0127695497644,-4.2210243793932,1.38297404016835,2.03792963170852,0.951883409342313
97,41.0948889598156,37.0862098881982,-4.20411747440867,1.40353783762767,2.04449621624483,0.988148114505782
98,41.1672216380109,37.1628921606655,-4.18565190000292,1.42369397028845,2.04671350538268,1.0235499108411
99,41.237467902438,37.2335578210258,-4.168548173419,1.44421198663816,2.04894529192317,1.03826541765464
100,41.3059895519235,37.2993871720591,-4.14926492910089,1.46275720092278,2.05119175048707,1.06050208508874
101,41.3774907245266,37.3759094329162,-4.12806792998383,1.48031331997917,2.05345305876958,1.08581316763722
102,41.4460441989067,37.4440916509523,-4.10675921603996,1.49563386095419,2.05572939761136,1.11607556438742
103,41.5148926940459,37.509776591319,-4.08738384017959,1.51024024472338,2.05802095107235,1.15309510370678
104,41.58453029227,37.581564083957,-4.06818958096656,1.52705154228933,2.06217360384831,1.16833820211031
105,41.6531002468701,37.6535661850483,-4.05131780963874,1.54318960731886,2.0649887896584,1.17867750999237
106,41.7135765241211,37.7197509851693,-4.03136196026255,1.56239398407176,2.07210051132025,1.20279408629078
107,41.7753958974241,37.7837955805579,-4.01712238352597,1.57971487237252,2.09189705539548,1.22801364572459
108,41.8401944352243,37.8510407998298,-3.99748827365956,1.59869493178062,2.1195597422495,1.26152194075574
109,41.9059308588712,37.9182168000266,-3.97566633238844,1.61151891276551,2.14794618279475,1.28865995202571
110,41.9729711926161,37.9866293236398,-3.95629779530694,1.62484563034848,2.16167059885659,1.30490920159976
111,42.0353025566699,38.0465526761789,-3.93317827998875,1.64278513885457,2.16983436062088,1.31820302187501
112,42.0984821305547,38.1116844058354,-3.9119405986936,1.66062236981979,2.17420412052776,1.3405171771995
113,42.1550348179938,38.1746220729725,-3.89077283104788,1.67479046562108,2.17573610063055,1.36934219981357
114,42.2173714898351,38.2382394397721,-3.87452314226563,1.68670124343584,2.1774436924946,1.39976621467116
115,42.2774486223545,38.2898286800224,-3.85763443802327,1.70028696468888,2.18052493979468,1.42208850542582
116,42.3362868238065,38.3560700715443,-3.84076474671391,1.71253089808919,2.18388594070762,1.44103024617184
117,42.3984188812534,38.4128023434944,-3.82390832141404,1.72662034258582,2.18628160581946,1.45247447223986
118,42.450379100311,38.4682544032849,-3.80758058386515,1.73915533551364,2.19112067426099,1.4749797020839
119,42.5072734369897,38.5310581179548,-3.79061672811648,1.75443534820274,2.19530196351743,1.50152608049559
120,42.5629594490534,38.5921587408557,-3.7741292399063,1.77025052580221,2.2085796947916,1.52982408443534
121,42.6188816029778,38.6526943349207,-3.7591996247496,1.78653229848491,2.23231520830138,1.54885117282508
122,42.6738118538856,38.7090565885574,-3.73811016988423,1.79662968802641,2.26456231214006,1.55853305047102
123,42.7334491039749,38.7737011804739,-3.7216388666276,1.81085643569984,2.28914357226533,1.57305362687253
124,42.7884215872758,38.8256616132363,-3.70312027359127,1.82574971253929,2.30039561298885,1.58258285306376
125,42.8389723739941,38.8787643655731,-3.68525727000618,1.84025370586149,2.30375803117626,1.59216492114118
126,42.9012108438082,38.936624057575,-3.67214054769205,1.85415330464422,2.30624885831738,1.60658424984832
127,42.9527396407462,38.988933008401,-3.65653444507991,1.86722234498547,2.30875592425204,1.6251957964893
128,43.0038989491859,39.0498494754746,-3.64189008845072,1.88110993620927,2.31312450800876,1.64850804837251
129,43.0561229434341,39.0975837805712,-3.62559380390859,1.89475299540037,2.31637652261099,1.67035517502073
130,43.109252818193,39.14902503683,-3.61536312935357,1.90677176937482,2.32096842647007,1.68128163782613
131,43.1591291224277,39.2019548269399,-3.60066838284362,1.91851358082129,2.32628738018641,1.68908324192803
132,43.2095144981087,39.2565000795242,-3.58373717921084,1.93108916935691,2.34214841493863,1.6997952455353
133,43.2620012618064,39.3135006705607,-3.56876347695018,1.94476629492396,2.37150592958751,1.71685343190051
134,43.3115539880599,39.3698706527722,-3.55186155798001,1.95987359247574,2.40439148171034,1.73326500188107
135,43.3604822569933,39.4203378903402,-3.53209643036134,1.97002988686829,2.42103041411845,1.75299908567487
136,43.4102828206094,39.4697024270098,-3.51573774629288,1.97738241778728,2.42878945957885,1.77687720782467
137,43.4635469630839,39.5231961618938,-3.4998209274239,1.98686424199728,2.43404601346822,1.79749772777691
138,43.5135863899635,39.5702642679978,-3.48367728380783,1.99709347297872,2.43670004941561,1.80794952336687
139,43.5565495130338,39.6182706504686,-3.46955486064499,2.00864928980664,2.43937153374609,1.81439762315334
140,43.6087240547386,39.6635332055525,-3.46024090132163,2.02086848728689,2.44206067779602,1.81877331488671
141,43.6550914429137,39.7111102821538,-3.44835384069184,2.03221675150883,2.44584651390667,1.82321246730242
142,43.6991399759373,39.7590481261049,-3.43329407203441,2.04456545941017,2.45023623827625,1.82771677409137
143,43.7498265135456,39.807565297896,-3.42084829301381,2.05490332102726,2.45299821072491,1.83211134806325
144,43.7920951164095,39.8452245636195,-3.40786315584124,2.06445867900973,2.46139771883824,1.83692795932304
145,43.839840123844,39.8903376850198,-3.39526702607823,2.07386531744648,2.48265571619031,1.84897109012567
146,43.8896432746809,39.9384186503849,-3.37981734378484,2.08413184103312,2.51107801469607,1.86402309357707
147,43.9317803703895,39.9844650149148,-3.36310546185264,2.09511551388014,2.52939541470922,1.88166942581269
148,43.9725244300277,40.0290734215895,-3.34878078882195,2.10785675099939,2.54072777384684,1.90241005867123
149,44.0154856123868,40.0785789323386,-3.33490156820334,2.12111817956346,2.55148943246228,1.92523653298247
150,44.0618504200497,40.1216715706509,-3.3196674148564,2.13216194651455,2.55697414081031,1.93434808411346
151,44.1024569245403,40.1674229487282,-3.30988506916141,2.14304406977459,2.56177678982566,1.94531186572682
152,44.1502297554924,40.2088476060775,-3.29768738128439,2.15029450087006,2.56533571791509,1.95491658381151
153,44.1940523312351,40.2521835245788,-3.2855900809031,2.15581620223237,2.56815964666728,1.9609093226145
154,44.2334040738881,40.2993102047106,-3.27399269016498,2.16088907459078,2.57100231551706,1.96761733136062
155,44.275554404813,40.3473923412412,-3.26464809054849,2.16750133467862,2.57617073301582,1.97582265786698
156,44.3174744642282,40.3922153618369,-3.25308344550068,2.17626163058748,2.57964507409258,1.98824468650205
157,44.360609500734,40.4292565597869,-3.24275306530769,2.18542439954817,2.58550492460758,2.00739517835955
158,44.3964520426378,40.4775503250853,-3.23093630374938,2.19512806029148,2.59652886280806,2.02652015767473
159,44.4410840971503,40.5157684663874,-3.21918882467371,2.20657616045431,2.61605705474785,2.04726194683642
160,44.4805541767516,40.5576993797054,-3.20776445437326,2.21625330648056,2.63904258371526,2.05880020046541
161,44.5182388589898,40.6036242884932,-3.19636283309432,2.2263148309578,2.65663953562485,2.06352608415976
162,44.5603483351551,40.6460723689285,-3.18128022648804,2.23584415129158,2.66311742398142,2.06688488261199
163,44.6014069852731,40.6883255703658,-3.16591136621279,2.24606830387766,2.66868916866523,2.07073841605423
164,44.6409115961035,40.7330208035143,-3.15604015403975,2.2559150522885,2.67433152807386,2.0756314515012
165,44.6836101687973,40.7748652799673,-3.13821505316664,2.26621792431003,2.68046289117238,2.08310267335528
166,44.72216076242,40.8149113414337,-3.12164933157938,2.27670258321877,2.68436055980301,2.09040020996722
167,44.7619329533608,40.8534774045441,-3.10842076830015,2.28755203644304,2.68583477490287,2.0982979924401
168,44.7975639034967,40.8921148490279,-3.09654449622299,2.297626397195,2.6887573791575,2.10652514220777
169,44.8379604248849,40.9335942014728,-3.0840834831154,2.30895143713932,2.69011748336503,2.11745737822466
170,44.8771482505599,40.9745143515964,-3.07214872098299,2.3206474282288,2.69169914957477,2.13067856201124
171,44.9140874928733,41.017046910007,-3.06180607335232,2.32993846112806,2.69466031761907,2.14848278902735
172,44.951298494622,41.0485825548523,-3.05059237264199,2.33643786159934,2.69594924294276,2.16704495382887
173,44.9854973466833,41.0883281507236,-3.03959709059987,2.34193294532542,2.6983455873586,2.18181473583989
174,45.0246174136228,41.1253336531383,-3.0287064958997,2.34758974723565,2.70064179296283,2.19340240631118
175,45.0605414575381,41.1628836758152,-3.01648260219611,2.3539593767104,2.70262956425243,2.20101885553014
176,45.0975446427227,41.2014053194954,-3.00779858967698,2.35979218177462,2.70484115882976,2.20437107380644
177,45.1333719301337,41.2393258857013,-2.99711835053403,2.36600855951265,2.70784454147195,2.21064315465904
178,45.1716545391465,41.2788378101851,-2.97962082243203,2.37260162344718,2.71086803201421,2.21969817388572
179,45.2083126967446,41.3215863750056,-2.9621843575095,2.3798018706041,2.71595195273708,2.22895698179773
180,45.246990899574,41.35834020318,-2.95005207120486,2.38734921644719,2.72809687406598,2.23752203385557
181,45.286483370838,41.3972558056682,-2.93650437305409,2.39443469303963,2.75136205409097,2.24925108783771
182,45.3215662032959,41.4301714392648,-2.9235762831839,2.40300035827625,2.77597823622577,2.25993740368089
183,45.3605136541449,41.4688138523191,-2.91323582921123,2.41073922895979,2.79680631274823,2.27319950388296
184,45.3966476347029,41.5056509906038,-2.90215514322486,2.4196493868785,2.81103756459793,2.29129784296174
185,45.4324789930256,41.5379607716093,-2.89128977870723,2.42945938426359,2.81707465643724,2.30838431596785
186,45.468497030017,41.5753501577421,-2.88040766214204,2.43838465164514,2.82012255459005,2.31921244950804
187,45.5015859017771,41.6111531920767,-2.87005200597151,2.44727881991597,2.82467121638765,2.32676710976412
188,45.5313362134509,41.6458591634596,-2.85850457860526,2.45530851050807,2.829386487584,2.33326896910919
189,45.5684160709702,41.6839229600329,-2.85126983683639,2.46458943273048,2.83416085757977,2.33735450685593
190,45.6038426015846,41.7184735271501,-2.84302096614242,2.47422086190247,2.83939046093393,2.34298501538868
191,45.636478031494,41.7560595131658,-2.8302440757404,2.48347855495729,2.8452420179002,2.34583080804383
192,45.6702887352754,41.7880108117453,-2.81678197411528,2.49251469078167,2.85556523219571,2.35158482671742
193,45.7004369013071,41.8180136417161,-2.79962387985708,2.5003669845523,2.88199378973045,2.35742396040775
194,45.7320800056726,41.855952800083,-2.78753181482761,2.50726213070887,2.9063392372116,2.36335053129484
195,45.7654970106759,41.8878087556266,-2.77484010255624,2.51293475043121,2.92288878120273,2.37166190123442
196,45.8008055109622,41.9200011123576,-2.76230877475688,2.51651708712913,2.93525826284511,2.37856558610783
197,45.8355506922922,41.9501669102206,-2.75020811478477,2.5194558181395,2.94190843687288,2.38736192967661
198,45.8638482508484,41.9834685429613,-2.73630516104201,2.52241506571232,2.9451185692073,2.39706164893296
199,45.8929178574302,42.0149233009333,-2.72613218180411,2.52539509184646,2.94871438282476,2.40750062265607
200,45.9298173081065,42.0481397485664,-2.71463726840299,2.52839616340161,2.95187747582875,2.42411006183041
201,45.959811378725,42.0818208773232,-2.70287946668951,2.53387313568421,2.9550730572915,2.43866397027461
202,45.9906497252309,42.1151228138753,-2.69495210681447,2.53752839460381,2.958673463791,2.44721616156902
203,46.0231423203478,42.1478509195222,-2.68602393197653,2.54279990108258,2.96419760407258,2.457045550903
204,46.0531410506095,42.1810071568671,-2.67674632975357,2.54766052475211,2.9675205094579,2.4645377924898
205,46.0813848310558,42.2154561848962,-2.66467378784013,2.55380885979983,2.97086587188384,2.47118429142025
206,46.1132071071045,42.2467040163277,-2.65123581624981,2.56151747946404,2.97899769038521,2.47519310299745
207,46.1432804230305,42.2789164844511,-2.63735924064129,2.56887671333837,2.99847187424049,2.48075935045442
208,46.1714774413484,42.3118916270273,-2.62783420337193,2.57704308837986,3.02134475230107,2.48413476021987
209,46.2009922979383,42.3495461642929,-2.6169417980465,2.58583372978199,3.03880399022753,2.49001231173531
210,46.2322165472861,42.3773856330173,-2.60720002289383,2.59363339924201,3.05157423097542,2.49759092917191
211,46.2666234165359,42.4069460662421,-2.59708589024421,2.60183052472851,3.06313821669688,2.50590280378944
212,46.2955331030397,42.4411962335941,-2.58417099244446,2.61035935111364,3.07304115343359,2.51766653781134
213,46.3265155364045,42.4772279473953,-2.56874185590366,2.61984313920233,3.07919365639166,2.53028352113307
214,46.3562572745517,42.5079145034446,-2.55317159212215,2.62840632349326,3.08313915538301,2.54525973465442
215,46.3868243111794,42.5371536945876,-2.54058490302406,2.63744661731552,3.08749756988802,2.56185753888829
216,46.417680748194,42.5682724312939,-2.53433855461567,2.64681557561181,3.09430801015018,2.57553054231172
217,46.450506689089,42.5999750369178,-2.52539752329141,2.6568470892433,3.1004222446815,2.58144056022256
218,46.4782000407139,42.6295554665984,-2.51665060298745,2.66548272551626,3.11187345535451,2.59036195377147
219,46.5063069504316,42.6557946448764,-2.50434134223437,2.67379251458049,3.13306344906059,2.5990416970415
220,46.5368991185171,42.6879645477168,-2.49286371927094,2.6830311608554,3.15705563518518,2.60675244897999
221,46.5659984570894,42.7163773913799,-2.48010192569836,2.69078879724255,3.1720226565259,2.61535518283076
222,46.5949278398627,42.744981774581,-2.47053583795764,2.69763238870156,3.18337717809236,2.62548276782233
223,46.6232858216668,42.7753350525033,-2.46092900592937,2.70379359210127,3.19511635600125,2.63633281100015
224,46.6501544355571,42.8028455928484,-2.45328301816616,2.7097750290388,3.20204538689624,2.64984295557843
225,46.6786600361806,42.8335710655134,-2.44421246673998,2.71506431087465,3.20793175419787,2.66465444655446
226,46.7121541264372,42.8635603997737,-2.43316614040068,2.7210441394524,3.21261032155527,2.68072304053348
227,46.7382764803473,42.8888177257924,-2.42063347153121,2.72693694485643,3.21734497131976,2.69877249136503
228,46.766696001412,42.9159188450082,-2.40543903368706,2.73376872255365,3.22338765490455,2.711902754996
229,46.791517839361,42.9432791993754,-2.38749669341159,2.74070284735994,3.22886958479705,2.72221357400473
230,46.82078200557,42.973959717742,-2.37727978817381,2.74757411373522,3.23810163770473,2.73246480541578
231,46.8525949150076,43.0039487623177,-2.36853224371625,2.75389751467198,3.25110495040872,2.74323828826304
232,46.8773365677067,43.0342919883899,-2.35849679344663,2.76120870578506,3.27077583124844,2.75451474671491
233,46.9067221244541,43.0625526840585,-2.34775148041344,2.76810308186844,3.29149044259339,2.76708248205837
234,46.9315122191422,43.0899662215019,-2.33749062155603,2.77552109280794,3.3117870195865,2.7820914070201
235,46.960667423464,43.118967322553,-2.32595821957391,2.78381421616958,3.32707157119745,2.79791648816701
236,46.9905110837187,43.1477278448923,-2.31308710125044,2.79200812937364,3.33759984747317,2.81562935759698
237,47.0194877892069,43.1746826359034,-2.30277132487111,2.80144257405183,3.34650252617992,2.83407893563556
238,47.0440068909401,43.2075083120244,-2.29666704577525,2.80888084694531,3.35685075628836,2.84807221822855
239,47.0726472994577,43.232234217953,-2.28995397350268,2.81751936069874,3.3683295745148,2.86077301503831
240,47.1013646389876,43.2580115349543,-2.28197092317696,2.82528939858748,3.3846432430022,2.87117636529712
241,47.1293295874445,43.2866196383264,-2.27198146802665,2.83315003431966,3.40814431569426,2.88210606912629
242,47.1553420733486,43.3143766772335,-2.2607087875901,2.84103952817645,3.42947599062611,2.89193286889979
243,47.1820043747848,43.3402854148564,-2.24849587634656,2.84830372917953,3.44717392170588,2.90343213815552
244,47.2104321685164,43.3660124170618,-2.23324700368975,2.85642232295641,3.45828760282756,2.91505171013022
245,47.235769015879,43.3917583019241,-2.21769906387048,2.8642296053428,3.4659033824564,2.92666725595852
246,47.2602760230076,43.4187073633406,-2.2129147914749,2.87218551348423,3.47344324697438,2.94372694086811
247,47.2867439905971,43.443592111452,-2.20366364849872,2.87747543847977,3.48144209953911,2.95998382061642
248,47.3113079258728,43.4686699382146,-2.19391358206063,2.88364439208172,3.49109503929854,2.97607514938427
249,47.3369868471702,43.4978585645522,-2.18101707098312,2.88703815505242,3.50146808744316,2.98835253392471
250,47.3653715699115,43.523546702107,-2.16893771747068,2.89163968798106,3.51891080793207,2.99915393790704
251,47.3930791529884,43.5494814412415,-2.15603466009043,2.89504003236074,3.53835499621633,3.00981492618478
252,47.4169057591548,43.5761766633597,-2.14315959456074,2.89985457288289,3.55482924874349,3.02333562351983
253,47.4437733295002,43.6022580968758,-2.13740946264318,2.90430446500106,3.57283029229865,3.03716117499709
254,47.4699246129054,43.626596365458,-2.13155447092755,2.90826161748053,3.58744335702581,3.05128323802111
255,47.4930181202217,43.6527401321082,-2.1245011579048,2.91404053254513,3.59696846829792,3.06513608597852
256,47.5177904176506,43.6800808912852,-2.11645994668452,2.91874444284992,3.60449522970836,3.08076104887276
257,47.5440760901538,43.7052549010487,-2.10782628927048,2.92354465450173,3.61404332394137,3.09748929643124
258,47.5698319031701,43.7308309152154,-2.09755244341697,2.9297150937132,3.62314046112786,3.11159059451889
259,47.5943561097519,43.7563783185733,-2.08605152431622,2.93573679495224,3.63518588207972,3.12649690547049
260,47.6205456669883,43.7818289322314,-2.0732265979318,2.9417267187759,3.6522890969382,3.13877304365598
261,47.6484225259685,43.8080195459074,-2.06261072812997,2.94726670919074,3.66992655647369,3.15276804017846
262,47.6726174194187,43.8326005778115,-2.053602967728,2.9525003373409,3.68791652934206,3.17003800246238
263,47.6961747549359,43.8575938810245,-2.04823983153407,2.95975408136584,3.70397597273084,3.18602436902029
264,47.7177669877289,43.8845030431844,-2.03959649713481,2.96466742359997,3.71559215784358,3.20373781601209
265,47.7420578441394,43.9082552217622,-2.03011725730645,2.97202957969805,3.72373219149544,3.22025987076413
266,47.7685862105843,43.9323938680827,-2.01815995144483,2.97755905343566,3.72784255443166,3.23361027494504
267,47.7932664393309,43.957009725523,-2.00546750992286,2.98504524443999,3.73614561648208,3.24521161616937
268,47.8180400128048,43.9817328455998,-1.99308620266027,2.99225330302921,3.7445607208934,3.25814846884882
269,47.8446466236408,44.0049981950218,-1.9805530073147,2.99875305507796,3.75309066676721,3.26935930974615
270,47.8697412718084,44.0312705305921,-1.97444703587146,3.00582826741169,3.76327725644885,3.28135339608026
271,47.893259434197,44.0549355410865,-1.96815012333816,3.01280861852908,3.7766423504688,3.29443485165564
