replicate,generation,date,fish_id,photo_number,unique_id,file,manual_landmarks,facing_direction,car_perc,mel_perc,photo_method,mel_perc_v2
replicate_1,parental_gen_1,20200729,m1-01,IMG_1734.JPG,20200729_IMG_1734,photos/replicate_1/parental_gen_1/color_corrected/20200729-IMG_1734.JPG,TRUE,l,8.43812359443793,2.97741598302239,,3.13262170979697
replicate_1,parental_gen_1,20200729,m1-01,IMG_1736.JPG,20200729_IMG_1736,photos/replicate_1/parental_gen_1/color_corrected/20200729-IMG_1736.JPG,FALSE,r,8.76320494067934,2.80188525922314,,2.80188525922314
replicate_1,parental_gen_1,20200729,m1-01,IMG_1737.JPG,20200729_IMG_1737,photos/replicate_1/parental_gen_1/color_corrected/20200729-IMG_1737.JPG,FALSE,l,10.4923837520043,2.93849100302868,,2.93849100302868
replicate_1,parental_gen_1,20200729,m1-01,IMG_1738.JPG,20200729_IMG_1738,photos/replicate_1/parental_gen_1/color_corrected/20200729-IMG_1738.JPG,FALSE,r,10.0278065648119,2.85761191885819,,2.77757826368011
replicate_1,parental_gen_1,20200729,m1-02,IMG_1740.JPG,20200729_IMG_1740,photos/replicate_1/parental_gen_1/color_corrected/20200729-IMG_1740.JPG,TRUE,l,6.57662630001191,6.18811077562417,,4.79746328582405
replicate_1,parental_gen_1,20200729,m1-02,IMG_1750.JPG,20200729_IMG_1750,photos/replicate_1/parental_gen_1/color_corrected/20200729-IMG_1750.JPG,TRUE,r,9.02238327860975,7.33062384880275,,6.05729959157524
replicate_1,parental_gen_1,20200729,m1-02,IMG_1753.JPG,20200729_IMG_1753,photos/replicate_1/parental_gen_1/color_corrected/20200729-IMG_1753.JPG,TRUE,l,8.37556789500252,6.76627965673902,,5.43260979303382
replicate_1,parental_gen_1,20200729,m1-02,IMG_1754.JPG,20200729_IMG_1754,photos/replicate_1/parental_gen_1/color_corrected/20200729-IMG_1754.JPG,FALSE,l,8.23963826517639,5.4790885874432,,5.27898466606967
replicate_1,parental_gen_1,20200729,m1-02,IMG_1758.JPG,20200729_IMG_1758,photos/replicate_1/parental_gen_1/color_corrected/20200729-IMG_1758.JPG,FALSE,r,8.90316809216268,6.75074183976261,,5.41761214871705
replicate_1,parental_gen_1,20200729,m1-03,IMG_1766.JPG,20200729_IMG_1766,photos/replicate_1/parental_gen_1/color_corrected/20200729-IMG_1766.JPG,FALSE,l,5.59100486304584,2.14493274617297,,1.13937069989914
