date,sire,dam,nr_offspring
2022/05/23,M3-549,F3-161,12
2022/05/23,M3-400,F3-169,5
2022/05/23,M3-629,F3-172,11
2022/05/23,M3-551,F3-181,21
2022/05/23,M3-566,F3-192,4
2022/05/23,M3-566,F3-193,5
2022/05/23,M3-660,F3-196,8
2022/05/24,M3-659,F3-165,11
2022/05/24,M3-596,F3-177,13
2022/05/24,M3-515,F3-208,10
2022/05/25,M3-514,F3-206,11
2022/05/25,M3-730,F3-223,10
2022/05/25,M3-703,F3-232,8
2022/05/26,M3-701,F3-240,10
2022/05/26,M3-559,F3-189,6
2022/05/27,M3-636,F3-211,13
2022/05/27,M3-574,F3-218,6
2022/05/30,M3-519,F3-163,5
2022/05/30,M3-679,F3-167,4
2022/05/30,M3-594,F3-173,7
2022/05/30,M3-398,F3-178,5
2022/05/30,M3-604,F3-190,10
2022/05/30,M3-495,F3-203,6
2022/05/30,M3-530,F3-214,10
2022/05/31,M3-505,F3-204,5
2022/05/31,M3-598,F3-217,8
2022/05/31,M3-730,F3-224,7
2022/05/31,M3-611,F3-225,11
2022/05/31,M3-607,F3-233,10
2022/05/31,M3-491,F3-168,9
2022/06/02,M3-622,F3-171,13
2022/06/02,M3-678,F3-186,8
2022/06/02,M3-614,F3-201,7
2022/06/02,M3-540,F3-179,9
2022/06/03,M3-678,F3-187,14
2022/06/03,M3-705,F3-228,8
2022/06/03,M3-607,F3-234,14
2022/06/06,M3-543,F3-194,13
2022/06/06,M3-543,F3-195,14
2022/06/06,M3-660,F3-197,8
2022/06/06,M3-731,F3-210,7
2022/06/07,M3-611,F3-226,8
2022/06/07,M3-682,F3-219,8
2022/06/07,M3-597,F3-170,14
2022/06/08,M3-511,F3-205,9
2022/06/08,M3-418,F3-164,12
2022/06/08,M3-559,F3-188,10
2022/06/08,M3-674,F3-198,13
2022/06/09,M3-551,F3-180,12
2022/06/10,M3-466,F3-213,8
2022/06/10,M3-680,F3-200,8
2022/06/13,M3-460,F3-202,12
2022/06/13,M3-699,F3-207,11
2022/06/13,M3-518,F3-215,7
2022/06/13,M3-521,F3-182,4
2022/06/13,M3-427,F3-185,11
2022/06/13,M3-654,F3-162,8
2022/06/14,M3-576,F3-230,7
2022/06/14,M3-566,F3-193,5
