date,sire,dam,nr_offspring
2021/01/28,M2-23,F2-09,13
2021/01/29,M2-73,F2-54,8
2021/02/02,M2-31,F2-30,12
2021/02/02,M2-34,F2-25,2
2021/02/02,M2-15,F2-15,16
2021/02/03,M2-22,F2-23,10
2021/03/01,M3-99,F3-45,2
2021/03/01,M3-67,F3-57,2
2021/03/02,M3-89,F3-04,3
2021/03/02,M3-24,F3-05,3
2021/03/02,M3-90,F3-09,1
2021/03/03,M3-83,F3-31,4
2021/03/03,M3-50,F3-33,3
2021/03/04,M3-50,F3-32,1
2021/03/04,M3-58,F3-72,2
2021/03/04,M3-30,F3-11,4
2021/03/05,M3-41,F3-22,3
2021/03/05,M3-47,F3-29,4
2021/03/06,M3-23,F3-02,14
2021/03/08,M3-96,F3-43,8
2021/03/08,M3-06,F3-47,9
2021/03/08,M3-12,F3-50,9
2021/03/08,M3-04,F3-64,4
2021/03/08,M3-33,F3-16,5
2021/03/08,M3-49,F3-19,11
2021/03/08,M3-39,F3-20,5
2021/03/08,M3-87,F3-27,9
2021/03/08,M3-55,F3-37,9
2021/03/09,M3-07,F3-42,8
2021/03/09,M3-08,F3-61,3
2021/03/09,M3-03,F3-44,8
2021/03/09,M3-17,F3-52,6
2021/03/09,M3-39,F3-21,5
2021/03/09,M3-61,F3-76,8
2021/03/10,M3-31,F3-12,6
2021/03/10,M3-34,F3-15,6
2021/03/10,M3-41,F3-23,1
2021/03/10,M3-42,F3-25,5
2021/03/10,M3-22,F3-53,4
2021/03/10,M3-66,F3-55,14
2021/03/10,M3-68,F3-58,5
2021/03/11,M3-87,F3-26,5
2021/03/11,M3-84,F3-60,9
2021/03/11,M3-62,F3-79,6
2021/03/15,M3-23,F3-01,12
2021/03/15,M3-88,F3-03,9
2021/03/15,M3-95,F3-14,12
2021/03/15,M3-47,F3-28,5
2021/03/15,M3-54,F3-34,2
2021/03/15,M3-56,F3-38,8
2021/03/15,M3-83,F3-30,9
2021/03/15,M3-09,F3-48,13
