order,dam,sire
63,F2-102,M2-107
79,F2-102,M2-107
82,F2-102,M2-107
93,F2-103,M2-107
95,F2-103,M2-107
98,F2-103,M2-107
53,F2-106,M2-304
56,F2-106,M2-304
58,F2-106,M2-304
1,F2-107,M2-304
3,F2-107,M2-304
5,F2-107,M2-304
10,F2-110,M2-421
27,F2-110,M2-421
28,F2-110,M2-421
15,F2-111,M2-421
41,F2-111,M2-421
71,F2-111,M2-421
34,F2-114,M2-335
35,F2-114,M2-335
52,F2-114,M2-335
69,F2-118,M2-396
77,F2-118,M2-396
92,F2-118,M2-396
7,F2-119,M2-396
49,F2-119,M2-396
68,F2-119,M2-396
11,F2-122,M2-250
89,F2-122,M2-250
90,F2-122,M2-250
65,F2-123,M2-293
74,F2-123,M2-293
100,F2-123,M2-293
18,F2-126,M2-420
30,F2-126,M2-420
39,F2-126,M2-420
22,F2-127,M2-281
48,F2-127,M2-281
51,F2-127,M2-281
2,F2-130,M2-237
9,F2-130,M2-237
38,F2-130,M2-237
60,F2-131,M2-342
64,F2-131,M2-342
67,F2-131,M2-342
23,F2-134,M2-402
88,F2-134,M2-402
17,F2-135,M2-336
19,F2-135,M2-336
20,F2-135,M2-336
75,F2-138,M2-369
84,F2-138,M2-369
46,F2-142,M2-405
50,F2-142,M2-405
57,F2-142,M2-405
91,F2-143,M2-405
97,F2-143,M2-405
14,F2-146,M2-343
25,F2-146,M2-343
61,F2-146,M2-343
29,F2-147,M2-343
45,F2-147,M2-343
72,F2-147,M2-343
94,F2-150,M2-397
99,F2-150,M2-397
37,F2-151,M2-397
40,F2-151,M2-397
86,F2-151,M2-397
42,F2-154,M2-419
96,F2-155,M2-419
31,F2-158,M2-184
73,F2-158,M2-184
80,F2-158,M2-184
21,F2-159,M2-184
70,F2-159,M2-184
76,F2-159,M2-184
33,F2-83,M2-302
78,F2-83,M2-302
85,F2-83,M2-302
12,F2-84,M2-278
36,F2-84,M2-278
43,F2-84,M2-278
26,F2-87,M2-391
47,F2-87,M2-391
59,F2-87,M2-391
8,F2-88,M2-390
32,F2-88,M2-390
54,F2-88,M2-390
13,F2-92,M2-308
62,F2-92,M2-308
87,F2-92,M2-308
6,F2-95,M2-393
16,F2-95,M2-393
55,F2-95,M2-393
66,F2-96,M2-368
81,F2-96,M2-368
83,F2-96,M2-368
4,F2-99,M2-279
24,F2-99,M2-279
44,F2-99,M2-279
