date,fish_id,car_perc,sire,dam,date_of_birth,selection
20220411,m1-856,17.1945266202684,m1-596,f1-169,,up_selected
20220426,m1-874,8.88907482922169,m1-594,f1-162,,up_selected
20220427,m1-875,11.9912153399572,m1-753,f1-165,,up_selected
20220502,m1-898,11.2298918063672,m1-671,f1-230,,up_selected
20220502,m1-907,17.8407002322554,m1-818,f1-218,,up_selected
20220502,m1-910,11.4439695317498,m1-671,f1-229,,up_selected
20220502,m1-912,19.6127626608206,m1-612,f1-234,,up_selected
20220503,m1-918,15.2122038377549,m1-793,f1-182,,up_selected
20220503,m1-923,15.7904253747988,m1-573,f1-194,,up_selected
20220503,m1-924,13.3315584344233,m1-794,f1-173,,up_selected
20220509,m1-942,11.0258168983412,m1-679,f1-202,,up_selected
20220510,m1-953,7.78997744482731,m1-578,f1-206,,up_selected
20220511,m1-955,7.53693989091652,m1-619,f1-210,,up_selected
20220511,m1-958,10.9699627751859,m1-842,f1-213,,up_selected
20220512,m1-972,5.22590812121618,m1-612,f1-233,,up_selected
20220512,m1-973,10.1707689911434,m1-607,f1-209,,up_selected
20220512,m1-991,10.2185834613557,m1-573,f1-193,,up_selected
20220513,m1-1015,15.5574782403588,m1-833,f1-178,,up_selected
20220513,m1-999,14.0460759695641,m1-579,f1-221,,up_selected
20220516,m1-1016,19.4505693857227,m1-728,f1-185,,up_selected
20220516,m1-1020,10.3396340986405,m1-728,f1-186,,up_selected
20220516,m1-1022,10.3321127758064,m1-579,f1-222,,up_selected
20220517,m1-1027,19.7512907852507,m1-577,f1-205,,up_selected
20220517,m1-1029,7.89756142301006,m1-772,f1-214,,up_selected
20220517,m1-1033,11.6894404373774,m1-725,f1-174,,up_selected
20220519,m1-1057,13.5666906621729,m1-780,f1-237,,up_selected
20220519,m1-1066,21.8450053041302,m1-539,f1-166,,up_selected
20220524,m1-1071,18.4388703460867,m1-556,f1-189,,up_selected
20220524,m1-1074,13.1835690221328,m1-585,f1-198,,up_selected
