order,dam,sire
1,F1-66,M1-45
2,F1-66,M1-45
3,F1-02,M1-56
4,F1-66,M1-45
5,F1-65,M1-45
6,F1-61,M1-24
7,F1-30,M1-23
8,F1-50,M1-75
9,F1-61,M1-24
10,F1-65,M1-45
11,F1-01,M1-05
12,F1-45,M1-63
13,F1-02,M1-56
14,F1-61,M1-24
15,F1-65,M1-45
16,F1-05,M1-08
17,F1-74,M1-39
18,F1-02,M1-56
19,F1-42,M1-84
20,F1-62,M1-24
21,F1-45,M1-63
22,F1-73,M1-39
23,F1-30,M1-23
24,F1-01,M1-05
25,F1-30,M1-23
26,F1-10,M1-78
27,F1-42,M1-84
28,F1-34,M1-54
29,F1-74,M1-39
30,F1-70,M1-31
31,F1-46,M1-68
32,F1-37,M1-46
33,F1-77,M1-37
34,F1-42,M1-84
35,F1-10,M1-78
36,F1-38,M1-46
37,F1-05,M1-08
38,F1-34,M1-54
39,F1-38,M1-46
40,F1-58,M1-80
41,F1-74,M1-39
42,F1-34,M1-54
43,F1-54,M1-73
44,F1-10,M1-78
45,F1-17,M1-18
46,F1-50,M1-75
47,F1-58,M1-80
48,F1-25,M1-21
49,F1-37,M1-46
50,F1-78,M1-37
51,F1-25,M1-21
52,F1-37,M1-46
53,F1-01,M1-05
54,F1-53,M1-97
55,F1-54,M1-73
56,F1-58,M1-80
57,F1-05,M1-08
58,F1-09,M1-12
59,F1-38,M1-46
60,F1-29,M1-23
61,F1-73,M1-39
62,F1-70,M1-31
63,F1-69,M1-31
64,F1-73,M1-39
65,F1-62,M1-24
66,F1-62,M1-24
67,F1-45,M1-63
68,F1-70,M1-31
69,F1-53,M1-97
70,F1-50,M1-75
71,F1-09,M1-12
72,F1-46,M1-68
73,F1-69,M1-31
74,F1-46,M1-68
75,F1-78,M1-37
76,F1-77,M1-37
77,F1-29,M1-23
78,F1-53,M1-97
79,F1-29,M1-23
80,F1-69,M1-31
81,F1-57,M1-74
82,F1-17,M1-18
83,F1-09,M1-12
84,F1-06,M1-76
85,F1-06,M1-76
86,F1-25,M1-21
87,F1-17,M1-18
88,F1-78,M1-37
89,F1-06,M1-76
90,F1-54,M1-73
91,F1-41,M1-81
92,F1-33,M1-54
93,F1-13,M1-15
94,F1-13,M1-15
95,F1-77,M1-37
96,F1-41,M1-81
97,F1-41,M1-81
98,F1-57,M1-74
99,F1-57,M1-74
100,F1-33,M1-54
