date,fish_id,car_perc,sire,dam,date_of_birth,selection
20210317,m2-104,10.7909551401352,m2-78,f2-76,2021-01-03,up_selected
20210322,m2-125,11.888872678598,m2-34,f2-25,2021-01-06,up_selected
20210324,m2-141,13.9157701787962,m2-76,f2-59,2021-01-08,up_selected
20210326,m2-149,10.2540954498264,m2-15,f2-15,2021-01-08,up_selected
20210329,m2-150,12.4672433422962,m2-15,f2-15,2021-01-08,up_selected
20210329,m2-151,10.8822344990726,m2-15,f2-15,2021-01-08,up_selected
20210401,m2-172,12.450884443866,m2-10,f2-10,2021-01-10,up_selected
20210407,m2-198,11.3121190627727,m2-07,f2-07,2021-01-13,up_selected
20210407,m2-199,12.4925119650551,m2-07,f2-07,2021-01-13,up_selected
20210412,m2-203,10.7314620741769,m2-33,f2-32,2021-01-17,up_selected
20210416,m2-218,15.0915174936835,m2-81,f2-67,2021-01-17,up_selected
20210419,m2-225,13.0039564619781,m2-79,f2-71,2021-01-17,up_selected
20210419,m2-226,11.2721039930803,m2-79,f2-71,2021-01-17,up_selected
20210426,m2-263,12.9068583522384,m2-57,f2-51,2021-01-17,up_selected
20210428,m2-264,10.8961700511994,m2-57,f2-51,2021-01-17,up_selected
20210428,m2-266,10.2227847179353,m2-54,f2-52,2021-01-17,up_selected
20210428,m2-268,13.9418265481383,m2-54,f2-52,2021-01-17,up_selected
20210428,m2-271,15.1605131258096,m2-52,f2-48,2021-01-17,up_selected
20210428,m2-274,12.4349336173662,m2-52,f2-48,2021-01-17,up_selected
20210505,m2-297,11.6042168784193,m2-02,f2-02,2021-01-23,up_selected
20210510,m2-320,13.3844658259909,m2-87,f2-63,2021-01-25,up_selected
20210510,m2-323,12.0227327338284,m2-87,f2-63,2021-01-25,up_selected
20210511,m2-326,10.6119147083179,m2-35,f2-18,2021-01-23,up_selected
20210511,m2-329,11.6325548022857,m2-35,f2-18,2021-01-23,up_selected
20210511,m2-332,10.6847843623645,m2-35,f2-18,2021-01-23,up_selected
20210512,m2-345,10.4872915577339,m2-42,f2-43,2021-01-25,up_selected
20210513,m2-348,11.1876451271474,m2-42,f2-43,2021-01-25,up_selected
20210514,m2-360,12.5007431852866,m2-78,f2-76,2021-01-26,up_selected
20210518,m2-371,11.3250612966189,m2-56,f2-11,2021-01-27,up_selected
20210519,m2-375,11.5542677899936,m2-77,f2-80,,up_selected
