order,dam,sire
28,F3-100,M3-324
55,F3-100,M3-324
60,F3-100,M3-324
82,F3-101,M3-324
83,F3-101,M3-324
92,F3-101,M3-324
76,F3-104,M3-305
90,F3-104,M3-305
54,F3-105,M3-305
57,F3-105,M3-305
64,F3-105,M3-305
37,F3-109,M3-306
41,F3-109,M3-306
47,F3-109,M3-306
38,F3-112,M3-130
73,F3-112,M3-130
2,F3-113,M3-130
14,F3-113,M3-130
24,F3-113,M3-130
84,F3-117,M3-326
97,F3-117,M3-326
98,F3-117,M3-326
4,F3-121,M3-356
5,F3-121,M3-356
29,F3-121,M3-356
16,F3-122,M3-193
48,F3-122,M3-193
61,F3-122,M3-193
6,F3-126,M3-355
7,F3-126,M3-355
11,F3-126,M3-355
74,F3-129,M3-236
93,F3-129,M3-236
96,F3-129,M3-236
49,F3-130,M3-175
72,F3-130,M3-175
85,F3-130,M3-175
66,F3-133,M3-354
69,F3-133,M3-354
81,F3-133,M3-354
31,F3-134,M3-314
36,F3-134,M3-314
58,F3-134,M3-314
3,F3-137,M3-144
59,F3-137,M3-144
63,F3-137,M3-144
45,F3-138,M3-245
62,F3-138,M3-245
78,F3-138,M3-245
9,F3-141,M3-191
18,F3-141,M3-191
19,F3-141,M3-191
8,F3-142,M3-191
10,F3-142,M3-191
13,F3-142,M3-191
27,F3-145,M3-177
33,F3-145,M3-177
46,F3-145,M3-177
23,F3-146,M3-177
25,F3-146,M3-177
26,F3-146,M3-177
87,F3-149,M3-237
88,F3-149,M3-237
94,F3-149,M3-237
50,F3-150,M3-237
53,F3-150,M3-237
68,F3-150,M3-237
17,F3-153,M3-246
39,F3-153,M3-246
86,F3-153,M3-246
44,F3-154,M3-246
51,F3-154,M3-246
52,F3-154,M3-246
67,F3-158,M3-265
95,F3-158,M3-265
99,F3-158,M3-265
15,F3-82,M3-393
32,F3-82,M3-393
40,F3-82,M3-393
43,F3-85,M3-328
65,F3-85,M3-328
77,F3-85,M3-328
42,F3-86,M3-104
70,F3-86,M3-104
75,F3-86,M3-104
1,F3-89,M3-307
12,F3-89,M3-307
20,F3-89,M3-307
56,F3-90,M3-189
80,F3-90,M3-189
22,F3-93,M3-333
30,F3-93,M3-333
35,F3-93,M3-333
21,F3-94,M3-339
34,F3-94,M3-339
79,F3-94,M3-339
100,F3-97,M3-374
71,F3-98,M3-390
89,F3-98,M3-390
91,F3-98,M3-390
