order,dam,sire
41,F1-235,M1-692
42,F1-167,M1-663
43,F1-188,M1-494
44,F1-188,M1-494
45,F1-188,M1-494
46,F1-220,M1-719
47,F1-168,M1-520
48,F1-167,M1-663
49,F1-220,M1-719
50,F1-191,M1-723
51,F1-187,M1-494
52,F1-235,M1-692
53,F1-179,M1-504
54,F1-179,M1-504
55,F1-228,M1-459
56,F1-168,M1-520
57,F1-235,M1-692
58,F1-184,M1-673
59,F1-240,M1-832
60,F1-187,M1-494
61,F1-212,M1-761
62,F1-224,M1-810
63,F1-240,M1-832
64,F1-224,M1-810
65,F1-200,M1-505
66,F1-223,M1-810
67,F1-183,M1-673
68,F1-192,M1-723
69,F1-199,M1-505
70,F1-199,M1-505
71,F1-199,M1-505
72,F1-192,M1-723
73,F1-204,M1-519
74,F1-216,M1-615
75,F1-227,M1-459
76,F1-168,M1-520
77,F1-176,M1-525
78,F1-183,M1-673
79,F1-180,M1-806
80,F1-212,M1-761
81,F1-223,M1-810
82,F1-176,M1-525
83,F1-215,M1-797
84,F1-183,M1-673
85,F1-239,M1-832
86,F1-176,M1-525
87,F1-215,M1-797
88,F1-239,M1-832
89,F1-164,M1-696
90,F1-172,M1-523
91,F1-172,M1-523
92,F1-239,M1-832
93,F1-180,M1-806
94,F1-180,M1-806
95,F1-175,M1-676
96,F1-204,M1-519
97,F1-204,M1-519
98,F1-172,M1-523
99,F1-164,M1-696
100,F1-164,M1-696
