dam,sire,n
F3-164,M3-418,2
F3-168,M3-491,3
F3-171,M3-622,3
F3-176,M3-633,1
F3-179,M3-540,3
F3-182,M3-521,2
F3-187,M3-678,2
F3-194,M3-543,2
F3-199,M3-680,1
F3-200,M3-680,1
F3-203,M3-495,3
F3-204,M3-505,1
F3-211,M3-636,2
F3-215,M3-518,1
F3-220,M3-695,3
F3-224,M3-730,3
F3-227,M3-705,2
F3-228,M3-705,1
F3-231,M3-703,1
F3-232,M3-703,3
