order,dam,sire
77,F3-102,M3-171
84,F3-102,M3-171
91,F3-102,M3-171
15,F3-103,M3-171
16,F3-103,M3-171
28,F3-103,M3-171
3,F3-106,M3-202
11,F3-106,M3-202
37,F3-106,M3-202
9,F3-107,M3-202
30,F3-107,M3-202
42,F3-107,M3-202
80,F3-114,M3-203
94,F3-114,M3-203
95,F3-114,M3-203
26,F3-118,M3-297
63,F3-118,M3-297
88,F3-118,M3-297
13,F3-119,M3-263
17,F3-119,M3-263
39,F3-119,M3-263
51,F3-120,M3-263
55,F3-120,M3-263
66,F3-120,M3-263
1,F3-123,M3-161
10,F3-123,M3-161
25,F3-123,M3-161
61,F3-124,M3-158
86,F3-124,M3-158
93,F3-124,M3-158
4,F3-127,M3-364
36,F3-127,M3-364
75,F3-127,M3-364
72,F3-128,M3-361
79,F3-128,M3-361
81,F3-128,M3-361
6,F3-131,M3-107
29,F3-131,M3-107
33,F3-131,M3-107
2,F3-132,M3-205
21,F3-132,M3-205
68,F3-132,M3-205
8,F3-136,M3-262
12,F3-136,M3-262
69,F3-136,M3-262
44,F3-139,M3-241
47,F3-139,M3-241
52,F3-139,M3-241
54,F3-144,M3-235
70,F3-144,M3-235
73,F3-144,M3-235
49,F3-148,M3-239
58,F3-148,M3-239
60,F3-148,M3-239
5,F3-151,M3-378
46,F3-151,M3-378
65,F3-151,M3-378
48,F3-152,M3-378
85,F3-152,M3-378
90,F3-152,M3-378
19,F3-155,M3-153
50,F3-155,M3-153
64,F3-155,M3-153
14,F3-156,M3-153
24,F3-156,M3-153
27,F3-156,M3-153
41,F3-159,M3-154
76,F3-159,M3-154
89,F3-159,M3-154
56,F3-160,M3-154
59,F3-160,M3-154
67,F3-160,M3-154
22,F3-83,M3-290
35,F3-83,M3-290
53,F3-83,M3-290
20,F3-84,M3-132
31,F3-84,M3-132
45,F3-84,M3-132
23,F3-87,M3-199
43,F3-87,M3-199
57,F3-87,M3-199
32,F3-88,M3-329
92,F3-88,M3-329
96,F3-88,M3-329
62,F3-91,M3-136
71,F3-91,M3-136
74,F3-91,M3-136
40,F3-92,M3-291
78,F3-92,M3-291
87,F3-92,M3-291
7,F3-95,M3-204
18,F3-95,M3-204
82,F3-95,M3-204
34,F3-96,M3-233
38,F3-96,M3-233
83,F3-96,M3-233
