date,fish_id,sire,dam,selection,car_perc,decisions
20220121,m2-775,m2-396,f2-119,down_selected,4.61474571760721,sacrifice
20220121,m2-774,m2-397,f2-150,down_selected,6.47080539716882,sacrifice
20220121,m2-773,m2-397,f2-150,down_selected,5.62485297703431,sacrifice
20220121,m2-772,m2-397,f2-150,down_selected,8.07971560369532,sacrifice
20220121,m2-771,m2-397,f2-150,down_selected,5.41933345392756,sacrifice
20220121,m2-770,m2-397,f2-150,down_selected,4.83195223623767,sacrifice
20220121,m2-769,m2-397,f2-150,down_selected,4.94251384932194,sacrifice
20220118,m2-768,m2-198,f2-144,up_selected,17.5683715220211,move to up
20220118,m2-767,m2-198,f2-144,up_selected,16.4182368925982,move to up
20220118,m2-766,m2-198,f2-144,up_selected,9.53058785957294,sacrifice
20220118,m2-765,m2-198,f2-144,up_selected,9.35554647537896,sacrifice
20220118,m2-764,m2-198,f2-144,up_selected,5.90935538767072,sacrifice
20220118,m2-763,m2-342,f2-131,down_selected,4.80751102922519,sacrifice
20220118,m2-762,m2-342,f2-131,down_selected,4.08338707497113,move to down
20220118,m2-761,m2-342,f2-131,down_selected,5.84202211419338,sacrifice
20220114,m2-760,m2-393,f2-95,down_selected,4.42605360040302,sacrifice
20220114,m2-759,m2-393,f2-95,down_selected,2.78869743461568,move to down
20220114,m2-758,m2-393,f2-95,down_selected,3.30104220629588,sacrifice
20220114,m2-757,m2-393,f2-95,down_selected,2.80647395030103,move to down
20220114,m2-756,m2-393,f2-95,down_selected,5.25489836865266,sacrifice
20220114,m2-755,m2-393,f2-95,down_selected,3.78917124990075,sacrifice
20220114,m2-754,m2-107,f2-102,down_selected,3.92116081847388,move to down
20220114,m2-753,m2-107,f2-102,down_selected,5.03090585314655,sacrifice
20220114,m2-752,m2-278,f2-84,down_selected,4.77231278320996,sacrifice
20220114,m2-751,m2-278,f2-84,down_selected,4.28403086900016,move to down
20220114,m2-750,m2-278,f2-84,down_selected,5.03981487208116,sacrifice
20220114,m2-749,m2-274,f2-85,up_selected,13.8737048042445,move to up
20220114,m2-748,m2-274,f2-85,up_selected,13.4834116521074,sacrifice
20220114,m2-747,m2-274,f2-85,up_selected,11.5030239542661,sacrifice
20220114,m2-746,m2-274,f2-85,up_selected,8.45783181745851,sacrifice
20220114,m2-745,m2-274,f2-85,up_selected,13.5296588154742,move to up
20220112,m2-744,m2-237,f2-130,down_selected,3.74186469766677,sacrifice
20220112,m2-743,m2-237,f2-130,down_selected,2.27941405516855,move to down
20220112,m2-742,m2-237,f2-130,down_selected,5.37412151382212,sacrifice
20220112,m2-741,m2-369,f2-138,down_selected,6.46512590220261,sacrifice
20220112,m2-740,m2-369,f2-138,down_selected,5.84318001153991,sacrifice
20220112,m2-739,m2-369,f2-138,down_selected,7.74610326989803,sacrifice
20220112,m2-738,m2-184,f2-158,down_selected,4.83089881315626,sacrifice
20220112,m2-737,m2-184,f2-158,down_selected,5.05585078339428,sacrifice
20220112,m2-736,m2-184,f2-158,down_selected,5.44978017335818,sacrifice
20220112,m2-735,m2-184,f2-158,down_selected,7.51126442750421,sacrifice
20220112,m2-734,m2-184,f2-159,down_selected,4.29089439372035,move to down
20220112,m2-733,m2-184,f2-159,down_selected,4.6807025224733,sacrifice
20220112,m2-732,m2-184,f2-159,down_selected,4.85739452004779,sacrifice
20220112,m2-731,m2-184,f2-159,down_selected,8.73403362302486,sacrifice
20220112,m2-710,m2-279,f2-99,down_selected,3.43937516123421,move to down
20220111,m2-730,m2-343,f2-147,down_selected,6.15689358095211,sacrifice
20220111,m2-729,m2-343,f2-147,down_selected,5.04135772097828,sacrifice
20220111,m2-728,m2-343,f2-147,down_selected,4.38060377884573,move to down
20220111,m2-727,m2-343,f2-147,down_selected,4.6488371595685,sacrifice
20220111,m2-726,m2-336,f2-135,down_selected,1.68891727696012,move to down
20220111,m2-725,m2-336,f2-135,down_selected,4.54094854254126,sacrifice
20220111,m2-724,m2-336,f2-135,down_selected,3.55245483676957,sacrifice
20220111,m2-723,m2-336,f2-135,down_selected,3.00174159387333,sacrifice
20220111,m2-722,m2-250,f2-122,down_selected,4.86242335241009,sacrifice
20220111,m2-721,m2-250,f2-122,down_selected,8.44959365187154,sacrifice
20220111,m2-720,m2-250,f2-122,down_selected,6.02752630176893,sacrifice
20220111,m2-719,m2-250,f2-122,down_selected,8.25801059382012,sacrifice
20220110,m2-718,m2-225,f2-94,up_selected,18.2784294938881,move to up
20220110,m2-717,m2-225,f2-94,up_selected,16.8182606204421,move to up
20220110,m2-716,m2-225,f2-94,up_selected,10.323298446089,sacrifice
20220110,m2-715,m2-225,f2-94,up_selected,11.3189594213937,sacrifice
20220110,m2-714,m2-225,f2-94,up_selected,11.4454654640042,sacrifice
20220110,m2-713,m2-390,f2-88,down_selected,3.20512428441481,move to down
