date,fish_id,car_perc,sire,dam,date_of_birth,selection
20210602,m3-107,1.82447039846568,m3-50,f3-33,,down_selected
20210608,m3-132,3.81386044776766,m3-39,f3-20,,down_selected
20210609,m3-136,3.64249795519826,m3-55,f3-37,,down_selected
20210609,m3-138,3.99804824546834,m3-55,f3-37,,down_selected
20210614,m3-153,2.42110044221128,m3-03,f3-44,,down_selected
20210614,m3-154,2.74614162238124,m3-03,f3-44,,down_selected
20210615,m3-158,4.12819950290537,m3-39,f3-21,,down_selected
20210615,m3-161,4.02259503201776,m3-31,f3-12,,down_selected
20210616,m3-169,3.32633781989902,m3-66,f3-55,,down_selected
20210616,m3-171,3.62192392266628,m3-66,f3-55,,down_selected
20210617,m3-183,3.00322469229828,m3-84,f3-60,,down_selected
20210628,m3-199,2.66778599386957,m3-16,f3-51,,down_selected
20210628,m3-202,2.32114262595883,m3-16,f3-51,,down_selected
20210628,m3-203,3.45872301744336,m3-16,f3-51,,down_selected
20210628,m3-204,4.05648462467008,m3-81,f3-59,,down_selected
20210628,m3-205,2.18478553418776,m3-81,f3-59,,down_selected
20210705,m3-233,3.54077096325826,m3-56,f3-38,,down_selected
20210706,m3-235,3.5501019121306,m3-56,f3-38,,down_selected
20210706,m3-239,3.26721656250878,m3-69,f3-69,,down_selected
20210706,m3-241,3.8284772256964,m3-69,f3-69,,down_selected
20210709,m3-262,3.32966167610146,m3-70,f3-74,,down_selected
20210709,m3-263,3.38653377910381,m3-70,f3-74,,down_selected
20210714,m3-287,3.92954667003936,m3-74,f3-56,,down_selected
20210714,m3-290,3.18015033641969,m3-15,f3-65,,down_selected
20210714,m3-291,2.6220374765748,m3-15,f3-65,,down_selected
20210714,m3-297,2.78506074299358,m3-70,f3-73,,down_selected
20210721,m3-329,3.18834993633235,m3-15,f3-66,,down_selected
20210728,m3-361,2.32442258723624,m3-89,f3-04,,down_selected
20210728,m3-364,3.73378203002916,m3-89,f3-04,,down_selected
20210804,m3-378,3.6088109019185,m3-06,f3-47,,down_selected
