fish_id,car_perc,date.x,sire,dam,date_of_birth,selection,date.y,sample_priority
m3-1002,2.31151676011399,20221129,m3-674,f3-198,2022-06-08,down_selected,20221129,first choice
m3-1017,2.72731520034,20221130,m3-680,f3-200,2022-06-10,down_selected,20221130,first choice
m3-1029,1.98160845284225,20221130,m3-699,f3-207,2022-06-13,down_selected,20221130,first choice
m3-1036,4.62040423569413,20221130,m3-521,f3-182,2022-06-13,down_selected,20221130,first choice
m3-737,1.60968217820118,20221024,m3-418,f3-164,2022-05-12,down_selected,20221024,first choice
m3-751,4.64587872505108,20221024,m3-543,f3-194,2022-05-17,down_selected,20221024,first choice
m3-757,3.51378909558938,20221027,m3-518,f3-215,2022-05-17,down_selected,20221027,first choice
m3-760,3.66735430588643,20221027,m3-695,f3-220,2022-05-17,down_selected,20221027,first choice
m3-775,2.11863334006271,20221028,m3-686,f3-212,2022-05-19,down_selected,20221028,first choice
m3-783,4.17999115528123,20221028,m3-705,f3-227,2022-05-19,down_selected,20221028,first choice
m3-786,5.34381221184144,20221028,m3-703,f3-231,2022-05-19,down_selected,20221028,first choice
m3-794,2.71730630293007,20221101,m3-603,f3-175,2022-05-19,down_selected,20221101,first choice
m3-799,7.59850387416865,20221101,m3-633,f3-176,2022-05-19,down_selected,20221101,first choice
m3-806,4.04033864059468,20221101,m3-516,f3-216,2022-05-20,down_selected,20221101,first choice
m3-814,2.70043927907103,20221102,m3-521,f3-183,2022-05-20,down_selected,20221102,first choice
m3-816,1.86436632920023,20221102,m3-680,f3-199,2022-05-20,down_selected,20221102,first choice
m3-826,3.46432279766785,20221102,m3-629,f3-172,2022-05-23,down_selected,20221102,first choice
m3-852,2.97467990253249,20221108,m3-515,f3-208,2022-05-24,down_selected,20221108,first choice
m3-865,5.28182703452296,20221108,m3-730,f3-223,2022-05-25,down_selected,20221108,first choice
m3-866,2.33878060192389,20221108,m3-703,f3-232,2022-05-25,down_selected,20221108,first choice
m3-868,2.01777090633761,20221108,m3-701,f3-240,2022-05-26,down_selected,20221108,first choice
