date,fish_id,car_perc,decisions
20211210,m2-580,12.49,sacrifice
20211210,m2-594,12.89,sacrifice
20211213,m2-604,3.23,sacrifice
20211213,m2-607,3.42,sacrifice
20211222,m2-657,4.63,sacrifice
20220111,m2-727,4.65,sacrifice
20220112,m2-733,4.68,sacrifice
20220114,m2-750,5.04,sacrifice
20220114,m2-751,4.28,move to down
20220114,m2-752,4.77,sacrifice
20220114,m2-753,5.03,sacrifice
20220114,m2-754,3.92,move to down
20220114,m2-755,3.79,sacrifice
20220114,m2-756,5.25,sacrifice
20220114,m2-757,2.81,move to down
20220114,m2-758,3.3,sacrifice
20220114,m2-759,2.79,move to down
20220114,m2-760,4.43,sacrifice
20220118,m2-761,5.84,sacrifice
20220118,m2-762,4.08,move to down
20220118,m2-763,4.81,sacrifice
20220118,m2-764,5.91,sacrifice
20220118,m2-765,9.36,sacrifice
20220118,m2-766,9.53,sacrifice
20220118,m2-767,16.42,move to up
20220118,m2-768,17.57,move to up
20220121,m2-769,4.94,sacrifice
20220121,m2-770,4.83,sacrifice
20220121,m2-771,5.42,sacrifice
20220121,m2-772,8.08,sacrifice
20220121,m2-773,5.62,sacrifice
20220121,m2-774,6.47,sacrifice
20220121,m2-775,4.61,sacrifice
