order,dam,sire
6,F2-100,M2-104
10,F2-100,M2-104
25,F2-100,M2-104
4,F2-101,M2-104
43,F2-101,M2-104
73,F2-101,M2-104
1,F2-104,M2-266
77,F2-104,M2-266
79,F2-104,M2-266
67,F2-105,M2-266
84,F2-105,M2-266
87,F2-105,M2-266
64,F2-108,M2-326
76,F2-108,M2-326
85,F2-108,M2-326
7,F2-112,M2-329
33,F2-112,M2-329
41,F2-112,M2-329
28,F2-116,M2-268
55,F2-116,M2-268
60,F2-116,M2-268
62,F2-120,M2-322
72,F2-120,M2-322
82,F2-120,M2-322
37,F2-121,M2-297
47,F2-121,M2-297
52,F2-121,M2-297
40,F2-124,M2-199
44,F2-124,M2-199
45,F2-124,M2-199
15,F2-128,M2-226
46,F2-128,M2-226
59,F2-128,M2-226
38,F2-132,M2-263
51,F2-132,M2-263
54,F2-132,M2-263
75,F2-133,M2-150
80,F2-133,M2-150
86,F2-133,M2-150
66,F2-136,M2-345
69,F2-136,M2-345
70,F2-136,M2-345
34,F2-137,M2-149
36,F2-137,M2-149
68,F2-137,M2-149
2,F2-140,M2-141
23,F2-140,M2-141
49,F2-140,M2-141
39,F2-141,M2-141
74,F2-141,M2-141
78,F2-141,M2-141
18,F2-144,M2-198
21,F2-144,M2-198
32,F2-144,M2-198
14,F2-152,M2-203
42,F2-152,M2-203
53,F2-152,M2-203
20,F2-153,M2-203
26,F2-153,M2-203
35,F2-153,M2-203
3,F2-156,M2-151
11,F2-156,M2-151
65,F2-156,M2-151
48,F2-81,M2-320
50,F2-81,M2-320
61,F2-81,M2-320
16,F2-82,M2-371
24,F2-82,M2-371
30,F2-82,M2-371
8,F2-85,M2-274
12,F2-85,M2-274
17,F2-85,M2-274
19,F2-89,M2-360
27,F2-89,M2-360
31,F2-89,M2-360
5,F2-90,M2-125
29,F2-90,M2-125
71,F2-90,M2-125
56,F2-93,M2-172
57,F2-93,M2-172
63,F2-93,M2-172
9,F2-94,M2-225
13,F2-94,M2-225
22,F2-94,M2-225
58,F2-98,M2-348
81,F2-98,M2-348
83,F2-98,M2-348
