date,fish_id,car_perc,sire,dam,date_of_birth,selection
20220427,m1-883,6.80747699659385,m1-494,f1-187,,down_selected
20220506,m1-932,7.1189754702906,m1-810,f1-224,,down_selected
20220509,m1-948,4.44255183319504,m1-799,f1-207,,down_selected
20220511,m1-969,4.84211860938902,m1-459,f1-228,,down_selected
20220512,m1-975,5.38852927268583,m1-719,f1-220,,down_selected
20220512,m1-985,3.84399293769564,m1-504,f1-179,,down_selected
20220513,m1-1005,4.16638127678844,m1-450,f1-203,,down_selected
20220513,m1-1011,7.1875458467407,m1-761,f1-212,,down_selected
20220517,m1-1036,3.75734699636631,m1-673,f1-183,,down_selected
20220517,m1-1043,11.2372311206733,m1-797,f1-215,,down_selected
20220518,m1-1046,5.19997947097249,m1-805,f1-196,,down_selected
20220518,m1-1054,11.6329724091771,m1-832,f1-239,,down_selected
20220519,m1-1063,4.93695539203506,m1-723,f1-192,,down_selected
20220524,m1-1081,3.95284599424967,m1-716,f1-211,,down_selected
20220526,m1-1090,8.00919410240485,m1-810,f1-223,,down_selected
20220526,m1-1091,6.37118075461917,m1-505,f1-199,,down_selected
20220526,m1-1101,6.36029846364657,m1-832,f1-240,,down_selected
20220427,m1-878,6.08640494873852,m1-676,f1-175,,down_selected
20220506,m1-931,8.90055214366491,m1-810,f1-224,,down_selected
20220510,m1-951,7.1235782351429,m1-799,f1-207,,down_selected
20220511,m1-970,5.38401231594218,m1-459,f1-228,,down_selected
20220512,m1-981,5.71559136067228,m1-719,f1-220,,down_selected
20220513,m1-1010,12.3116789216026,m1-761,f1-212,,down_selected
20220517,m1-1039,4.55403829377568,m1-673,f1-183,,down_selected
20220517,m1-1041,13.6114260915626,m1-797,f1-215,,down_selected
20220518,m1-1050,5.68372320621021,m1-805,f1-196,,down_selected
20220518,m1-1052,12.2024799027378,m1-832,f1-239,,down_selected
20220519,m1-1060,9.44988743730988,m1-806,f1-180,,down_selected
20220524,m1-1079,11.36769665112,m1-723,f1-191,,down_selected
20220524,m1-1083,4.09047989045464,m1-716,f1-211,,down_selected
20220526,m1-1102,7.71448251172533,m1-832,f1-240,,down_selected
20220506,m1-933,9.09705849834182,m1-810,f1-224,,down_selected
20220512,m1-977,6.20883334534621,m1-719,f1-220,,down_selected
20220517,m1-1037,4.88976307759106,m1-673,f1-183,,down_selected
20220518,m1-1047,5.9013394620794,m1-805,f1-196,,down_selected
20220524,m1-1082,5.93967209181727,m1-716,f1-211,,down_selected
20220518,m1-1045,6.77089990121685,m1-805,f1-196,,down_selected
20220512,m1-980,6.36283712067588,m1-719,f1-220,,down_selected
