order,dam,sire
3,F2-02,M2-02
4,F2-02,M2-02
5,F2-02,M2-02
45,F2-03,M2-03
63,F2-03,M2-03
93,F2-03,M2-03
22,F2-06,M2-93
23,F2-06,M2-93
39,F2-06,M2-93
48,F2-07,M2-07
49,F2-07,M2-07
53,F2-07,M2-07
50,F2-10,M2-10
67,F2-10,M2-10
73,F2-10,M2-10
26,F2-11,M2-56
65,F2-11,M2-56
82,F2-11,M2-56
21,F2-14,M2-36
28,F2-14,M2-36
58,F2-14,M2-36
70,F2-15,M2-15
78,F2-15,M2-15
83,F2-15,M2-15
10,F2-18,M2-35
19,F2-18,M2-35
52,F2-18,M2-35
36,F2-25,M2-34
68,F2-25,M2-34
74,F2-25,M2-34
85,F2-28,M2-64
88,F2-28,M2-64
91,F2-28,M2-64
59,F2-29,M2-64
72,F2-29,M2-64
79,F2-29,M2-64
96,F2-32,M2-33
97,F2-32,M2-33
98,F2-32,M2-33
76,F2-33,M2-33
81,F2-33,M2-33
87,F2-33,M2-33
84,F2-36,M2-65
89,F2-36,M2-65
20,F2-37,M2-65
55,F2-37,M2-65
64,F2-37,M2-65
6,F2-43,M2-42
7,F2-43,M2-42
13,F2-43,M2-42
30,F2-44,M2-43
44,F2-44,M2-43
51,F2-44,M2-43
17,F2-48,M2-52
27,F2-48,M2-52
34,F2-48,M2-52
14,F2-51,M2-57
15,F2-51,M2-57
16,F2-51,M2-57
1,F2-52,M2-54
9,F2-52,M2-54
12,F2-52,M2-54
29,F2-55,M2-75
46,F2-55,M2-75
54,F2-55,M2-75
2,F2-56,M2-74
38,F2-56,M2-74
66,F2-56,M2-74
62,F2-59,M2-76
92,F2-59,M2-76
94,F2-59,M2-76
31,F2-60,M2-95
35,F2-60,M2-95
56,F2-60,M2-95
11,F2-63,M2-87
25,F2-63,M2-87
37,F2-63,M2-87
8,F2-64,M2-87
32,F2-64,M2-87
60,F2-64,M2-87
33,F2-67,M2-81
61,F2-67,M2-81
80,F2-67,M2-81
47,F2-71,M2-79
69,F2-71,M2-79
75,F2-71,M2-79
90,F2-72,M2-79
100,F2-72,M2-79
77,F2-75,M2-78
95,F2-75,M2-78
99,F2-75,M2-78
43,F2-76,M2-78
71,F2-76,M2-78
86,F2-76,M2-78
24,F2-79,M2-77
41,F2-79,M2-77
57,F2-79,M2-77
18,F2-80,M2-77
40,F2-80,M2-77
42,F2-80,M2-77
