order,dam,sire
41,F3-207,M3-699
42,F3-187,M3-678
43,F3-200,M3-680
44,F3-212,M3-686
45,F3-228,M3-705
46,F3-212,M3-686
47,F3-212,M3-686
48,F3-240,M3-701
49,F3-199,M3-680
50,F3-199,M3-680
51,F3-200,M3-680
52,F3-204,M3-505
53,F3-227,M3-705
54,F3-176,M3-633
55,F3-182,M3-521
56,F3-216,M3-516
57,F3-163,M3-519
58,F3-204,M3-505
59,F3-175,M3-603
60,F3-190,M3-604
61,F3-216,M3-516
62,F3-198,M3-674
63,F3-167,M3-679
64,F3-167,M3-679
65,F3-195,M3-543
66,F3-216,M3-516
67,F3-164,M3-418
68,F3-167,M3-679
69,F3-195,M3-543
70,F3-194,M3-543
71,F3-172,M3-629
72,F3-175,M3-603
73,F3-228,M3-705
74,F3-215,M3-518
75,F3-207,M3-699
76,F3-186,M3-678
77,F3-208,M3-515
78,F3-211,M3-636
79,F3-176,M3-633
80,F3-195,M3-543
81,F3-207,M3-699
82,F3-198,M3-674
83,F3-215,M3-518
84,F3-208,M3-515
85,F3-223,M3-730
86,F3-183,M3-521
87,F3-198,M3-674
88,F3-172,M3-629
89,F3-231,M3-703
90,F3-183,M3-521
91,F3-163,M3-519
92,F3-172,M3-629
93,F3-186,M3-678
94,F3-223,M3-730
95,F3-175,M3-603
96,F3-231,M3-703
97,F3-163,M3-519
98,F3-223,M3-730
99,F3-183,M3-521
100,F3-219,M3-682
