dam,sire,n
F1-166,M1-539,3
F1-170,M1-600,3
F1-173,M1-794,1
F1-178,M1-833,1
F1-182,M1-793,2
F1-185,M1-728,1
F1-193,M1-573,3
F1-194,M1-573,1
F1-198,M1-585,1
F1-205,M1-577,2
F1-206,M1-578,3
F1-213,M1-842,1
F1-218,M1-818,3
F1-222,M1-579,3
F1-226,M1-782,2
F1-229,M1-671,3
F1-233,M1-612,1
F1-234,M1-612,3
F1-238,M1-780,3
