date,fish_id,car_perc,sire,dam,date_of_birth,selection
20201222,m1-136,11.1844726032347,m1-54,f1-33,2020-10-22,up_selected
20201228,m1-162,12.3583969297412,m1-74,f1-57,2020-10-26,up_selected
20210102,m1-180,13.2704617766701,m1-24,f1-61,2020-10-27,up_selected
20210102,m1-181,14.8070185631037,m1-24,f1-61,2020-10-27,up_selected
20210102,m1-183,15.0848499362261,m1-24,f1-61,2020-10-27,up_selected
20210102,m1-187,12.4815349601062,m1-39,f1-73,2020-10-27,up_selected
20210102,m1-188,13.9773372921769,m1-39,f1-73,2020-10-27,up_selected
20210106,m1-209,12.4197756468586,m1-21,f1-25,2020-10-29,up_selected
20210113,m1-218,14.7858597020451,m1-54,f1-34,2020-10-29,up_selected
20210113,m1-219,12.3826315195303,m1-54,f1-34,2020-10-29,up_selected
20210113,m1-221,11.3455529657227,m1-56,f1-02,2020-10-30,up_selected
20210113,m1-223,13.2453215462097,m1-56,f1-02,2020-10-30,up_selected
20210114,m1-233,17.0825911997935,m1-31,f1-69,2020-10-30,up_selected
20210118,m1-238,14.147687513929,m1-31,f1-70,2020-10-30,up_selected
20210118,m1-243,12.1804193069211,m1-05,f1-01,2020-11-02,up_selected
20210118,m1-244,14.2250934545353,m1-05,f1-01,2020-11-02,up_selected
20210118,m1-248,13.7162402427631,m1-05,f1-01,2020-11-02,up_selected
20210120,m1-254,12.3827248888693,m1-84,f1-42,2020-11-02,up_selected
20210120,m1-255,11.7323693270805,m1-84,f1-42,2020-11-02,up_selected
20210120,m1-257,13.0694328503415,m1-84,f1-42,2020-11-02,up_selected
20210121,m1-266,11.4725196053649,m1-46,f1-38,2020-11-02,up_selected
20210216,m1-302,11.3203216601942,m1-23,f1-30,2020-11-04,up_selected
20210216,m1-314,13.987169346704,m1-46,f1-37,2020-11-04,up_selected
20210222,m1-342,11.2072460132272,m1-12,f1-09,2020-11-09,up_selected
20210304,m1-382,12.6097785744358,m1-39,f1-74,2020-11-16,up_selected
20210304,m1-385,11.8975598830124,m1-76,f1-06,2020-11-16,up_selected
20210309,m1-404,12.294780405904,m1-18,f1-17,2020-11-16,up_selected
20210309,m1-422,12.3041972311976,m1-63,f1-45,2020-11-17,up_selected
20210309,m1-423,13.662147715741,m1-63,f1-45,2020-11-17,up_selected
20210315,m1-442,13.791997607683,m1-75,f1-50,2020-11-25,up_selected
