order,dam,sire
1,F1-68,M1-28
2,F1-80,M1-38
3,F1-16,M1-60
4,F1-15,M1-09
5,F1-51,M1-94
6,F1-31,M1-32
7,F1-71,M1-30
8,F1-12,M1-58
9,F1-15,M1-09
10,F1-52,M1-71
11,F1-12,M1-58
12,F1-43,M1-88
13,F1-19,M1-11
14,F1-80,M1-38
15,F1-52,M1-71
16,F1-80,M1-38
17,F1-47,M1-89
18,F1-23,M1-13
19,F1-71,M1-30
20,F1-71,M1-30
21,F1-15,M1-09
22,F1-32,M1-32
23,F1-32,M1-32
24,F1-27,M1-17
25,F1-43,M1-88
26,F1-31,M1-32
27,F1-23,M1-13
28,F1-51,M1-94
29,F1-12,M1-58
30,F1-31,M1-32
31,F1-60,M1-69
32,F1-79,M1-38
33,F1-40,M1-36
34,F1-68,M1-28
35,F1-35,M1-34
36,F1-68,M1-28
37,F1-40,M1-36
38,F1-60,M1-69
39,F1-60,M1-69
40,F1-28,M1-17
41,F1-07,M1-04
42,F1-59,M1-66
43,F1-28,M1-17
44,F1-75,M1-33
45,F1-72,M1-30
46,F1-55,M1-98
47,F1-75,M1-33
48,F1-40,M1-36
49,F1-51,M1-94
50,F1-52,M1-71
51,F1-59,M1-66
52,F1-47,M1-89
53,F1-07,M1-04
54,F1-64,M1-25
55,F1-59,M1-66
56,F1-64,M1-25
57,F1-79,M1-38
58,F1-39,M1-36
59,F1-64,M1-25
60,F1-07,M1-04
61,F1-75,M1-33
62,F1-19,M1-11
63,F1-23,M1-13
64,F1-28,M1-17
65,F1-32,M1-32
66,F1-44,M1-82
67,F1-19,M1-11
68,F1-79,M1-38
69,F1-35,M1-34
70,F1-35,M1-34
71,F1-27,M1-17
72,F1-56,M1-72
73,F1-27,M1-17
74,F1-47,M1-89
75,F1-16,M1-60
76,F1-03,M1-03
77,F1-03,M1-03
78,F1-72,M1-30
79,F1-72,M1-30
80,F1-39,M1-36
81,F1-43,M1-88
82,F1-39,M1-36
83,F1-36,M1-34
84,F1-03,M1-03
85,F1-36,M1-34
86,F1-44,M1-82
87,F1-08,M1-44
88,F1-36,M1-34
89,F1-55,M1-98
90,F1-16,M1-60
91,F1-08,M1-44
92,F1-44,M1-82
93,F1-08,M1-44
94,F1-56,M1-72
95,F1-11,M1-06
96,F1-56,M1-72
97,F1-55,M1-98
98,F1-11,M1-06
99,F1-11,M1-06
