date,fish_id,car_perc,sire,dam,date_of_birth,selection
20210920,m1-539,18.3974539470606,m1-255,f1-113,2021-04-28,up_selected
20210920,m1-549,15.2469065262763,m1-233,f1-121,2021-04-29,up_selected
20210921,m1-556,15.0592048433895,m1-254,f1-105,2021-04-29,up_selected
20210922,m1-573,13.9043068271175,m1-209,f1-137,2021-04-30,up_selected
20210924,m1-577,18.4389027584656,m1-243,f1-147,2021-04-30,up_selected
20210924,m1-578,14.0557712892497,m1-243,f1-147,2021-04-30,up_selected
20210924,m1-579,16.4956854168559,m1-243,f1-147,2021-04-30,up_selected
20210924,m1-585,15.6511710747828,m1-302,f1-83,2021-04-30,up_selected
20210927,m1-594,13.9667946225143,m1-382,f1-88,2021-04-30,up_selected
20210927,m1-596,14.6619503098723,m1-181,f1-155,2021-05-03,up_selected
20210927,m1-600,21.4337547887403,m1-181,f1-155,2021-05-03,up_selected
20210927,m1-607,14.2254620536799,m1-219,f1-133,2021-05-03,up_selected
20210929,m1-612,16.7381069498524,m1-223,f1-99,2021-05-03,up_selected
20210929,m1-619,18.6470138023289,m1-385,f1-117,2021-05-03,up_selected
20211004,m1-647,17.0676795560317,m1-180,f1-152,2021-05-03,up_selected
20211005,m1-671,18.207585836095,m1-244,f1-159,2021-05-04,up_selected
20211005,m1-679,16.6531291483869,m1-181,f1-156,2021-05-05,up_selected
20211018,m1-725,14.6659541047504,m1-342,f1-102,2021-05-11,up_selected
20211018,m1-728,17.9928380999837,m1-342,f1-102,2021-05-11,up_selected
20211019,m1-753,13.9346340771639,m1-404,f1-95,2021-05-13,up_selected
20211022,m1-772,20.6938805773008,m1-136,f1-144,2021-05-17,up_selected
20211025,m1-780,15.7843883890277,m1-244,f1-160,2021-05-18,up_selected
20211025,m1-782,15.6348432220128,m1-244,f1-160,2021-05-18,up_selected
20211026,m1-793,17.1657316176957,m1-180,f1-151,2021-05-20,up_selected
20211026,m1-794,16.5510225557095,m1-180,f1-151,2021-05-20,up_selected
20211103,m1-818,16.5269831205007,m1-255,f1-113,,up_selected
20211103,m1-821,21.60008422091,m1-255,f1-113,,up_selected
20211105,m1-833,14.18421190857,m1-382,f1-88,,up_selected
20211105,m1-834,19.9636807627867,m1-382,f1-88,,up_selected
20211108,m1-842,16.5967452934886,m1-442,f1-91,,up_selected
