date,fish_id,sire,dam,selection,car_perc,decisions
20210601,m2-423,m2-22,f2-23,down_selected,3.78193977209476,sacrifice
20210601,m2-422,m2-22,f2-23,down_selected,5.28039141102734,sacrifice
20210601,m2-421,m2-22,f2-23,down_selected,2.84984489589956,move to down
20210601,m2-420,m2-22,f2-23,down_selected,2.40906105730288,move to down
20210601,m2-418,m2-31,f2-30,down_selected,5.40102076697815,sacrifice
20210531,m2-419,m2-31,f2-30,down_selected,4.24191246844298,move to down
20210531,m2-417,m2-31,f2-30,down_selected,6.8857304452609,sacrifice
20210531,m2-416,m2-31,f2-30,down_selected,6.14202145177272,sacrifice
20210531,m2-415,m2-31,f2-30,down_selected,6.58722773461643,sacrifice
20210531,m2-414,m2-31,f2-30,down_selected,10.4634479850503,sacrifice
20210531,m2-413,m2-15,f2-15,up_selected,5.9667462089316,sacrifice
20210531,m2-412,m2-15,f2-15,up_selected,3.13496025803705,sacrifice
20210531,m2-411,m2-15,f2-15,up_selected,9.94150829357432,sacrifice
20210531,m2-410,m2-15,f2-15,up_selected,8.94222742583429,sacrifice
20210531,m2-409,m2-34,f2-25,up_selected,7.8240290811696,sacrifice
20210528,m2-408,m2-73,f2-54,down_selected,8.30252335748238,sacrifice
20210528,m2-407,m2-73,f2-54,down_selected,8.53532817495477,sacrifice
20210528,m2-406,m2-73,f2-54,down_selected,8.12748870833568,sacrifice
20210528,m2-405,m2-73,f2-54,down_selected,4.24477098116329,move to down
20210528,m2-404,m2-73,f2-54,down_selected,8.35217027640985,sacrifice
20210528,m2-403,m2-05,f2-05,down_selected,7.30177343485479,sacrifice
20210528,m2-402,m2-05,f2-05,down_selected,3.63565831774781,move to down
20210528,m2-401,m2-05,f2-05,down_selected,6.05282526504083,sacrifice
20210527,m2-400,m2-05,f2-05,down_selected,5.9083767644225,sacrifice
20210527,m2-399,m2-05,f2-05,down_selected,12.5984873980837,sacrifice
20210527,m2-398,m2-70,f2-50,down_selected,5.36866505614566,sacrifice
20210527,m2-397,m2-70,f2-50,down_selected,4.438481331155,move to down
20210526,m2-396,m2-70,f2-50,down_selected,3.47548070580872,move to down
20210526,m2-395,m2-70,f2-50,down_selected,10.2443512300344,sacrifice
20210526,m2-394,m2-70,f2-50,down_selected,12.3553407134487,sacrifice
20210526,m2-393,m2-23,f2-09,down_selected,4.22166461973415,move to down
20210526,m2-392,m2-23,f2-09,down_selected,4.35419026644525,sacrifice
20210526,m2-391,m2-23,f2-09,down_selected,3.88129086477624,move to down
20210526,m2-390,m2-23,f2-09,down_selected,3.3020475386243,move to down
20210526,m2-389,m2-23,f2-09,down_selected,5.08299280687233,sacrifice
20210526,m2-388,m2-24,f2-38,down_selected,5.04919987582565,sacrifice
20210526,m2-387,m2-24,f2-38,down_selected,4.81786602751182,sacrifice
20210526,m2-386,m2-24,f2-38,down_selected,9.63615772260814,sacrifice
20210526,m2-385,m2-24,f2-38,down_selected,5.42696022988177,sacrifice
20210526,m2-384,m2-24,f2-38,down_selected,8.08441900326894,sacrifice
20210521,m2-383,m2-24,f2-38,down_selected,4.55713529801814,sacrifice
20210521,m2-382,m2-24,f2-38,down_selected,4.42363759614978,move to down
20210521,m2-381,m2-77,f2-80,up_selected,9.74139030574218,sacrifice
20210521,m2-380,m2-77,f2-80,up_selected,6.0376215199213,sacrifice
20210521,m2-379,m2-77,f2-80,up_selected,6.82887024814517,sacrifice
20210519,m2-378,m2-77,f2-80,up_selected,8.31995885275966,sacrifice
