date,fish_id,sire,dam,selection,car_perc,decisions
20210315,m1-448,m1-94,f1-51,down_selected,7.1318911142733,sacrifice
20210315,m1-447,m1-94,f1-51,down_selected,4.24626407020548,move to down
20210315,m1-446,m1-94,f1-51,down_selected,5.83711128681868,sacrifice
20210315,m1-445,m1-94,f1-51,down_selected,2.21115545429866,move to down
20210315,m1-444,m1-94,f1-51,down_selected,10.2656707045703,sacrifice
20210315,m1-443,m1-75,f1-50,up_selected,5.59848816694948,sacrifice
20210315,m1-442,m1-75,f1-50,up_selected,13.791997607683,move to up
20210315,m1-441,m1-75,f1-50,up_selected,9.66142852795148,sacrifice
20210315,m1-440,m1-75,f1-50,up_selected,6.68565982245985,sacrifice
20210310,m1-438,m1-98,f1-55,down_selected,5.4718194653344,sacrifice
20210310,m1-437,m1-98,f1-55,down_selected,11.6351728169173,sacrifice
20210310,m1-436,m1-69,f1-60,down_selected,4.78308606674396,move to down
20210310,m1-435,m1-69,f1-60,down_selected,7.09200160140684,sacrifice
20210310,m1-434,m1-69,f1-60,down_selected,4.85793602599365,sacrifice
20210310,m1-433,m1-66,f1-59,down_selected,2.6950863353667,move to down
20210310,m1-432,m1-66,f1-59,down_selected,5.69740769500853,sacrifice
20210310,m1-431,m1-66,f1-59,down_selected,5.97102500644597,sacrifice
20210310,m1-430,m1-66,f1-59,down_selected,9.43117180975616,sacrifice
20210310,m1-429,m1-66,f1-59,down_selected,4.66580311106483,move to down
20210310,m1-428,m1-66,f1-59,down_selected,5.91390721215739,sacrifice
20210310,m1-427,m1-45,f1-65,up_selected,3.15597561317523,sacrifice
20210310,m1-426,m1-45,f1-65,up_selected,5.33284799083542,sacrifice
20210309,m1-425,m1-63,f1-45,up_selected,9.59659463533671,sacrifice
20210309,m1-424,m1-63,f1-45,up_selected,4.71804037646993,sacrifice
20210309,m1-423,m1-63,f1-45,up_selected,13.662147715741,move to up
20210309,m1-422,m1-63,f1-45,up_selected,12.3041972311976,move to up
20210309,m1-421,m1-63,f1-45,up_selected,6.21228222010821,sacrifice
20210309,m1-420,m1-81,f1-41,up_selected,10.4630109480843,sacrifice
20210309,m1-419,m1-81,f1-41,up_selected,5.55163138375009,sacrifice
20210309,m1-418,m1-81,f1-41,up_selected,10.3524979711127,sacrifice
20210309,m1-417,m1-81,f1-41,up_selected,3.75667895976652,sacrifice
20210309,m1-416,m1-81,f1-41,up_selected,6.75122145193761,sacrifice
20210309,m1-415,m1-34,f1-35,down_selected,5.23088909075209,sacrifice
20210309,m1-414,m1-34,f1-35,down_selected,5.60699680574239,sacrifice
20210309,m1-413,m1-34,f1-35,down_selected,6.64351478457629,sacrifice
20210309,m1-412,m1-34,f1-35,down_selected,7.25927665528539,sacrifice
20210309,m1-411,m1-34,f1-35,down_selected,4.71315226986413,move to down
20210309,m1-410,m1-34,f1-35,down_selected,6.59609365502713,sacrifice
20210309,m1-409,m1-34,f1-35,down_selected,9.1122875170769,sacrifice
20210309,m1-408,m1-18,f1-17,up_selected,10.9289571598321,sacrifice
20210309,m1-407,m1-18,f1-17,up_selected,4.49791149254845,sacrifice
20210309,m1-406,m1-18,f1-17,up_selected,11.0937152945879,sacrifice
20210309,m1-405,m1-18,f1-17,up_selected,10.5358164743325,sacrifice
20210309,m1-404,m1-18,f1-17,up_selected,12.294780405904,move to up
20210309,m1-403,m1-18,f1-17,up_selected,7.89979210278631,sacrifice
20210305,m1-402,m1-15,f1-13,up_selected,7.64677853251722,sacrifice
20210305,m1-401,m1-15,f1-13,up_selected,7.53208238210413,sacrifice
20210305,m1-400,m1-15,f1-13,up_selected,4.74945099550286,sacrifice
20210305,m1-399,m1-15,f1-13,up_selected,9.38167264834576,sacrifice
20210305,m1-398,m1-15,f1-13,up_selected,4.29424260770859,sacrifice
20210305,m1-397,m1-15,f1-13,up_selected,5.6947888158809,sacrifice
20210305,m1-396,m1-15,f1-13,up_selected,9.60108753775874,sacrifice
20210305,m1-395,m1-15,f1-13,up_selected,7.48176864320128,sacrifice
20210305,m1-394,m1-15,f1-13,up_selected,11.0532606170332,sacrifice
20210305,m1-393,m1-58,f1-12,down_selected,5.21857742415917,sacrifice
20210305,m1-392,m1-58,f1-12,down_selected,12.2148641101406,sacrifice
20210305,m1-391,m1-58,f1-12,down_selected,8.95031027349853,sacrifice
20210305,m1-390,m1-58,f1-12,down_selected,5.99008944746125,sacrifice
20210305,m1-389,m1-58,f1-12,down_selected,5.91551268654252,sacrifice
20210305,m1-388,m1-58,f1-12,down_selected,5.40700036835341,sacrifice
20210305,m1-387,m1-58,f1-12,down_selected,5.29013232198521,sacrifice
20210304,m1-386,m1-76,f1-06,up_selected,6.5991803600328,sacrifice
20210304,m1-385,m1-76,f1-06,up_selected,11.8975598830124,move to up
20210304,m1-384,m1-76,f1-06,up_selected,5.49937319203563,sacrifice
20210304,m1-383,m1-76,f1-06,up_selected,11.1505254264276,sacrifice
20210304,m1-382,m1-39,f1-74,up_selected,12.6097785744358,move to up
20210304,m1-381,m1-39,f1-74,up_selected,8.11868605128517,sacrifice
20210303,m1-380,m1-28,f1-68,down_selected,4.04418958507143,sacrifice
20210303,m1-379,m1-28,f1-68,down_selected,3.94829605822971,sacrifice
20210303,m1-378,m1-28,f1-68,down_selected,2.55192798256321,move to down
20210303,m1-377,m1-28,f1-68,down_selected,6.25746367348718,sacrifice
20210303,m1-376,m1-28,f1-68,down_selected,3.01074724057427,move to down
20210303,m1-375,m1-28,f1-68,down_selected,3.21563187201808,move to down
20210303,m1-374,m1-28,f1-68,down_selected,4.69334229384413,sacrifice
20210303,m1-373,m1-28,f1-68,down_selected,3.87800653813006,sacrifice
20210303,m1-372,m1-45,f1-66,up_selected,6.09100557595462,sacrifice
