fish_id,car_perc,date,sire,dam,date_of_birth,selection
m2-1007,3.85019256271403,20220822,m2-759,f2-223,2022-04-11,down_selected
m2-1023,3.47720191064562,20220824,m2-529,f2-212,2022-04-12,down_selected
m2-1030,3.31217596274822,20220824,m2-529,f2-212,2022-04-12,down_selected
m2-1034,3.10187167833853,20220825,m2-501,f2-215,2022-04-13,down_selected
m2-1035,2.71454430595468,20220825,m2-501,f2-215,2022-04-13,down_selected
m2-1073,1.5788144285053,20220831,m2-435,f2-190,2022-04-18,down_selected
m2-778,3.37445857562523,20220614,m2-479,f2-208,2022-03-14,down_selected
m2-793,3.18152529151238,20220616,m2-529,f2-212,2022-03-18,down_selected
m2-794,2.61083190887832,20220616,m2-607,f2-207,2022-03-21,down_selected
m2-795,2.4822257304293,20220616,m2-607,f2-207,2022-03-21,down_selected
m2-804,2.50554020883307,20220617,m2-501,f2-215,2022-03-21,down_selected
m2-819,3.64410250271066,20220617,m2-759,f2-223,2022-03-21,down_selected
m2-836,5.79167151620184,20220705,m2-455,f2-163,2022-03-22,down_selected
m2-856,3.02409054628946,20220708,m2-743,f2-239,2022-03-21,down_selected
m2-858,4.73297058393642,20220708,m2-743,f2-239,2022-03-21,down_selected
m2-863,2.0804351577205,20220711,m2-478,f2-227,2022-03-22,down_selected
m2-874,5.68157015387259,20220712,m2-502,f2-235,2022-03-23,down_selected
m2-877,4.80731960923458,20220712,m2-502,f2-235,2022-03-23,down_selected
m2-878,4.5763982382617,20220712,m2-502,f2-235,2022-03-23,down_selected
m2-884,5.67126723438143,20220712,m2-658,f2-211,2022-03-25,down_selected
m2-892,5.85946586600704,20220715,m2-762,f2-219,2022-03-25,down_selected
m2-900,3.15893078505685,20220715,m2-672,f2-203,2022-03-28,down_selected
m2-901,3.11694781478377,20220715,m2-672,f2-203,2022-03-28,down_selected
m2-902,2.08272694106986,20220715,m2-672,f2-203,2022-03-28,down_selected
m2-922,3.20537455484661,20220721,m2-728,f2-172,2022-04-01,down_selected
m2-925,4.16900790857846,20220721,m2-728,f2-172,2022-04-01,down_selected
m2-927,4.15120016261913,20220721,m2-728,f2-172,2022-04-01,down_selected
m2-928,4.30576941389769,20220721,m2-726,f2-200,2022-04-04,down_selected
m2-931,4.80793526264536,20220721,m2-726,f2-200,2022-04-04,down_selected
m2-946,5.28585926007816,20220722,m2-654,f2-186,2022-04-04,down_selected
m2-948,4.83269081777706,20220722,m2-654,f2-186,2022-04-04,down_selected
m2-950,5.37798653090698,20220722,m2-654,f2-186,2022-04-04,down_selected
m2-956,5.31244682445951,20220727,m2-454,f2-164,2022-04-05,down_selected
m2-967,3.3197682876966,20220728,m2-710,f2-182,2022-04-06,down_selected
m2-969,3.46455508868223,20220728,m2-710,f2-182,2022-04-06,down_selected
m2-972,4.47996907789394,20220728,m2-710,f2-183,2022-04-06,down_selected
m2-978,0.0126425843797828,20220802,m2-435,f2-190,2022-03-21,down_selected
m2-980,1.60298227794225,20220802,m2-435,f2-190,2022-03-21,down_selected
m2-994,3.22025146306384,20220816,m2-479,f2-208,2022-04-08,down_selected
m2-995,4.74398475080604,20220816,m2-479,f2-208,2022-04-08,down_selected
