fish_id,car_perc,date.x,sire,dam,date_of_birth,selection,date.y,sample_priority
m2-809,14.6672131809233,20220617,m2-549,f2-217,2022-03-21,up_selected,,backup sample
m2-816,9.14813741132584,20220617,m2-585,f2-218,2022-03-21,up_selected,20220617,first choice
m2-829,9.91069339602457,20220704,m2-431,f2-189,2022-03-21,up_selected,20220704,first choice
m2-845,12.3114211075465,20220708,m2-431,f2-188,2022-03-22,up_selected,20220708,first choice
m2-852,9.61128761181081,20220708,m2-608,f2-193,2022-03-28,up_selected,20220708,first choice
m2-860,14.6509233646415,20220711,m2-651,f2-214,2022-03-22,up_selected,20220711,first choice
m2-867,13.3833635330213,20220711,m2-700,f2-201,2022-03-23,up_selected,20220711,first choice
m2-882,12.7874686116699,20220712,m2-621,f2-202,2022-03-25,up_selected,20220712,first choice
m2-903,12.064258690524,20220718,m2-598,f2-210,2022-03-28,up_selected,20220718,first choice
m2-909,13.043630948561,20220718,m2-472,f2-226,2022-03-28,up_selected,20220718,first choice
m2-917,7.39721833842206,20220721,m2-432,f2-169,2022-03-30,up_selected,20220721,first choice
m2-936,12.5145085193334,20220722,m2-498,f2-209,2022-04-01,up_selected,20220722,first choice
m2-939,11.4513474812942,20220722,m2-697,f2-222,2022-04-01,up_selected,20220722,first choice
m2-943,9.99417167286393,20220722,m2-667,f2-237,2022-04-04,up_selected,20220722,first choice
m2-959,11.8035864382878,20220728,m2-584,f2-173,2022-04-06,up_selected,20220728,first choice
m2-965,10.5394742092895,20220728,m2-717,f2-181,2022-04-06,up_selected,20220728,first choice
m2-976,13.5885992859147,20220802,m2-472,f2-225,2022-04-06,up_selected,20220802,first choice
m2-998,17.9977475739325,20220816,m2-620,f2-234,2022-04-08,up_selected,,backup sample
m2-905,5.51329599444592,20220718,m2-598,f2-210,2022-03-28,up_selected,,backup sample
m2-798,7.90729958865528,20220616,m2-767,f2-213,2022-03-21,up_selected,,backup sample
m2-853,8.51343548958283,20220708,m2-608,f2-193,2022-03-28,up_selected,,backup sample
