fish_id,car_perc,date.x,sire,dam,date_of_birth,selection,date.y,sample_priority
m2-1009,14.8445193366482,20220822,m2-583,f2-166,2022-04-15,up_selected,20220822,first choice
m2-1011,29.1899769017393,20220822,m2-597,f2-230,2022-04-11,up_selected,20220822,first choice
m2-1020,13.9939947132675,20220824,m2-620,f2-233,2022-04-11,up_selected,20220824,first choice
m2-1031,10.282940987226,20220825,m2-667,f2-238,2022-04-12,up_selected,20220825,first choice
m2-1044,9.93996478380498,20220829,m2-431,f2-189,2022-04-15,up_selected,20220829,first choice
m2-1057,23.343137643751,20220829,m2-717,f2-180,2022-04-18,up_selected,20220829,first choice
m2-1063,13.7061055755786,20220830,m2-431,f2-188,2022-04-18,up_selected,20220830,first choice
m2-776,11.95582895298,20220614,m2-584,f2-173,2022-03-14,up_selected,20220614,first choice
m2-777,18.685178119846,20220614,m2-579,f2-196,2022-03-14,up_selected,20220614,first choice
m2-780,13.9213164115764,20220614,m2-718,f2-161,2022-03-15,up_selected,20220614,first choice
m2-785,14.6937116454791,20220614,m2-768,f2-205,2022-03-18,up_selected,20220614,first choice
m2-799,15.9462278208979,20220616,m2-767,f2-213,2022-03-21,up_selected,20220616,first choice
m2-806,19.7950589414011,20220617,m2-549,f2-217,2022-03-21,up_selected,20220617,first choice
m2-814,10.1744110580434,20220617,m2-585,f2-218,2022-03-21,up_selected,20220617,first choice
m2-840,22.6601477887475,20220705,m2-544,f2-170,2022-03-22,up_selected,20220705,first choice
m2-842,18.7383033243792,20220705,m2-465,f2-178,2022-03-22,up_selected,20220705,first choice
m2-851,11.7056019722673,20220708,m2-608,f2-193,2022-03-28,up_selected,20220708,first choice
m2-861,19.0845431602684,20220711,m2-651,f2-214,2022-03-22,up_selected,20220711,first choice
m2-868,16.5833427602079,20220711,m2-700,f2-201,2022-03-23,up_selected,20220711,first choice
m2-880,14.5214419750118,20220712,m2-621,f2-202,2022-03-25,up_selected,20220712,first choice
m2-908,15.7702571564953,20220718,m2-472,f2-226,2022-03-28,up_selected,20220718,first choice
m2-915,14.5837322681244,20220718,m2-598,f2-210,2022-03-28,up_selected,20220718,first choice
m2-918,7.61877726367726,20220721,m2-432,f2-169,2022-03-30,up_selected,20220721,first choice
m2-932,14.4679918444748,20220722,m2-498,f2-209,2022-04-01,up_selected,20220722,first choice
m2-937,12.7126150106511,20220722,m2-697,f2-222,2022-04-01,up_selected,20220722,first choice
m2-944,11.6464620419118,20220722,m2-667,f2-237,2022-04-04,up_selected,20220722,first choice
m2-964,12.7041571863008,20220728,m2-717,f2-181,2022-04-06,up_selected,20220728,first choice
m2-975,13.8023246347859,20220802,m2-472,f2-225,2022-04-06,up_selected,20220802,first choice
m2-997,22.6918560976504,20220816,m2-620,f2-234,2022-04-08,up_selected,20220816,first choice
m2-1005,17.3159707230296,20220819,m2-579,f2-196,2022-04-11,up_selected,,backup sample
m2-1010,8.30002816178851,20220822,m2-583,f2-166,2022-04-15,up_selected,20220822,first choice
m2-1016,18.7235437650367,20220822,m2-597,f2-230,2022-04-11,up_selected,,backup sample
m2-1017,13.3324649322303,20220824,m2-620,f2-233,2022-04-11,up_selected,20220824,first choice
m2-1033,9.72889057904414,20220825,m2-667,f2-238,2022-04-12,up_selected,20220825,first choice
m2-1037,14.4416724248663,20220825,m2-768,f2-205,2022-04-14,up_selected,20220825,first choice
m2-1043,15.1923763778931,20220825,m2-767,f2-213,2022-04-15,up_selected,,backup sample
m2-1052,19.9173128407142,20220829,m2-544,f2-170,2022-04-18,up_selected,,backup sample
m2-1061,14.6780314649209,20220829,m2-717,f2-180,2022-04-18,up_selected,,backup sample
m2-779,11.2315869654706,20220614,m2-718,f2-161,2022-03-15,up_selected,20220614,first choice
