order,dam,sire
41,F2-166,M2-583
42,F2-237,M2-667
43,F2-193,M2-608
44,F2-214,M2-651
45,F2-238,M2-667
46,F2-178,M2-465
47,F2-169,M2-432
48,F2-226,M2-472
49,F2-217,M2-549
50,F2-217,M2-549
51,F2-205,M2-768
52,F2-196,M2-579
53,F2-238,M2-667
54,F2-218,M2-585
55,F2-218,M2-585
56,F2-226,M2-472
57,F2-196,M2-579
58,F2-189,M2-431
59,F2-196,M2-579
60,F2-161,M2-718
61,F2-188,M2-431
62,F2-209,M2-498
63,F2-213,M2-767
64,F2-189,M2-431
65,F2-193,M2-608
66,F2-209,M2-498
67,F2-222,M2-697
68,F2-225,M2-472
69,F2-189,M2-431
70,F2-161,M2-718
71,F2-225,M2-472
72,F2-202,M2-621
73,F2-225,M2-472
74,F2-210,M2-598
75,F2-169,M2-432
76,F2-181,M2-717
77,F2-222,M2-697
78,F2-181,M2-717
79,F2-222,M2-697
80,F2-210,M2-598
81,F2-214,M2-651
82,F2-218,M2-585
83,F2-213,M2-767
84,F2-202,M2-621
85,F2-202,M2-621
86,F2-214,M2-651
87,F2-213,M2-767
