date,fish_id,car_perc,sire,dam,date_of_birth,selection
20210830,m1-450,3.02522227143963,m1-316,f1-85,2021-04-20,down_selected
20210831,m1-459,3.29104899433827,m1-193,f1-82,2021-04-22,down_selected
20210910,m1-494,3.71474475524943,m1-279,f1-119,2021-04-27,down_selected
20210915,m1-504,3.54175770248052,m1-214,f1-97,2021-04-27,down_selected
20210915,m1-505,2.47118647758332,m1-214,f1-97,2021-04-27,down_selected
20210917,m1-519,3.5881122171294,m1-378,f1-111,2021-04-27,down_selected
20210917,m1-520,3.47345731984628,m1-445,f1-127,2021-04-27,down_selected
20210917,m1-523,3.63763075913321,m1-445,f1-127,2021-04-27,down_selected
20210917,m1-525,2.55128559760262,m1-445,f1-127,2021-04-27,down_selected
20210920,m1-552,2.73954678490126,m1-194,f1-124,2021-04-29,down_selected
20210921,m1-559,2.08673075164905,m1-213,f1-108,2021-04-29,down_selected
20210929,m1-615,3.2995626440558,m1-213,f1-107,2021-05-03,down_selected
20211004,m1-663,2.74785637085844,m1-365,f1-142,2021-05-05,down_selected
20211005,m1-673,3.85532532403995,m1-260,f1-149,2021-05-05,down_selected
20211005,m1-676,3.83967177198791,m1-260,f1-149,2021-05-05,down_selected
20211008,m1-692,3.20749414339164,m1-261,f1-123,2021-05-06,down_selected
20211008,m1-696,2.54351582910872,m1-261,f1-123,2021-05-06,down_selected
20211015,m1-716,3.11449650036974,m1-299,f1-90,2021-05-10,down_selected
20211015,m1-717,3.70699982532548,m1-299,f1-90,2021-05-10,down_selected
20211015,m1-719,3.39499945371351,m1-299,f1-90,2021-05-10,down_selected
20211015,m1-723,2.73846463412233,m1-411,f1-115,2021-05-10,down_selected
20211022,m1-761,3.46654867385569,m1-378,f1-112,2021-05-13,down_selected
20211101,m1-797,2.74117368158782,m1-316,f1-85,,down_selected
20211101,m1-799,2.88858096542687,m1-316,f1-85,,down_selected
20211101,m1-802,2.99188903446028,m1-436,f1-103,,down_selected
20211101,m1-803,3.55611305519776,m1-436,f1-103,,down_selected
20211101,m1-805,2.30488509508215,m1-193,f1-82,,down_selected
20211101,m1-806,3.15619163895055,m1-193,f1-82,,down_selected
20211103,m1-810,3.80208109404483,m1-279,f1-119,,down_selected
20211105,m1-832,2.83585029139286,m1-376,f1-154,,down_selected
