fish_id,car_perc,date,sire,dam,date_of_birth,selection
m2-1000,14.3249039850482,20220816,m2-620,f2-234,2022-04-08,up_selected
m2-1003,9.88452833640781,20220819,m2-579,f2-196,2022-04-11,up_selected
m2-1004,17.0674510876387,20220819,m2-579,f2-196,2022-04-11,up_selected
m2-1012,18.3626646257646,20220822,m2-597,f2-230,2022-04-11,up_selected
m2-1014,16.9983798879721,20220822,m2-597,f2-230,2022-04-11,up_selected
m2-1015,14.8528388455699,20220822,m2-597,f2-230,2022-04-11,up_selected
m2-1032,8.8358991778515,20220825,m2-667,f2-238,2022-04-12,up_selected
m2-1053,19.5844710547937,20220829,m2-544,f2-170,2022-04-18,up_selected
m2-1055,17.5194176859625,20220829,m2-544,f2-170,2022-04-18,up_selected
m2-1056,16.0945737914682,20220829,m2-544,f2-170,2022-04-18,up_selected
m2-1058,14.3340202555328,20220829,m2-717,f2-180,2022-04-18,up_selected
m2-1059,12.586748786778,20220829,m2-717,f2-180,2022-04-18,up_selected
m2-1062,11.0833522194242,20220830,m2-431,f2-188,2022-04-18,up_selected
m2-1065,9.82647318793836,20220830,m2-651,f2-214,2022-04-18,up_selected
m2-1069,13.1305002968259,20220830,m2-651,f2-214,2022-04-18,up_selected
m2-782,13.2930641958821,20220614,m2-620,f2-233,2022-03-16,up_selected
m2-783,12.7891703630683,20220614,m2-768,f2-205,2022-03-18,up_selected
m2-786,14.3626668971703,20220614,m2-768,f2-205,2022-03-18,up_selected
m2-789,12.6814379368162,20220614,m2-768,f2-205,2022-03-18,up_selected
m2-807,12.8908775034908,20220617,m2-549,f2-217,2022-03-21,up_selected
m2-811,14.0584346490698,20220617,m2-549,f2-217,2022-03-21,up_selected
m2-812,9.20513017329893,20220617,m2-549,f2-217,2022-03-21,up_selected
m2-813,8.97941915284503,20220617,m2-585,f2-218,2022-03-21,up_selected
m2-824,12.9365718390242,20220704,m2-717,f2-180,2022-03-21,up_selected
m2-828,9.26723409469811,20220704,m2-431,f2-189,2022-03-21,up_selected
m2-846,10.0880856623798,20220708,m2-431,f2-188,2022-03-22,up_selected
m2-862,12.3147640992018,20220711,m2-651,f2-214,2022-03-22,up_selected
m2-879,10.3095912179737,20220712,m2-621,f2-202,2022-03-25,up_selected
m2-881,10.3975970251042,20220712,m2-621,f2-202,2022-03-25,up_selected
m2-883,9.41070016168156,20220712,m2-621,f2-202,2022-03-25,up_selected
m2-910,9.57255837634434,20220718,m2-472,f2-226,2022-03-28,up_selected
m2-933,10.6687302795022,20220722,m2-498,f2-209,2022-04-01,up_selected
m2-934,8.89607096301182,20220722,m2-498,f2-209,2022-04-01,up_selected
m2-938,10.9436464871149,20220722,m2-697,f2-222,2022-04-01,up_selected
m2-940,8.83678197821989,20220722,m2-697,f2-222,2022-04-01,up_selected
m2-958,10.7793976032883,20220728,m2-584,f2-173,2022-04-06,up_selected
m2-960,9.32897770275358,20220728,m2-584,f2-173,2022-04-06,up_selected
m2-962,8.86845153153715,20220728,m2-584,f2-173,2022-04-06,up_selected
m2-974,8.54310322273957,20220802,m2-472,f2-225,2022-04-06,up_selected
m2-999,17.9840269479919,20220816,m2-620,f2-234,2022-04-08,up_selected
