order,dam,sire
41,F1-205,M1-577
42,F1-173,M1-794
43,F1-198,M1-585
44,F1-209,M1-607
45,F1-198,M1-585
46,F1-185,M1-728
47,F1-194,M1-573
48,F1-194,M1-573
49,F1-237,M1-780
50,F1-230,M1-671
51,F1-237,M1-780
52,F1-178,M1-833
53,F1-214,M1-772
54,F1-213,M1-842
55,F1-185,M1-728
56,F1-165,M1-753
57,F1-173,M1-794
58,F1-210,M1-619
59,F1-186,M1-728
60,F1-178,M1-833
61,F1-237,M1-780
62,F1-221,M1-579
63,F1-182,M1-793
64,F1-186,M1-728
65,F1-214,M1-772
66,F1-186,M1-728
67,F1-213,M1-842
68,F1-230,M1-671
69,F1-165,M1-753
70,F1-209,M1-607
71,F1-221,M1-579
72,F1-226,M1-782
73,F1-230,M1-671
74,F1-162,M1-594
75,F1-217,M1-647
76,F1-214,M1-772
77,F1-162,M1-594
78,F1-233,M1-612
79,F1-165,M1-753
80,F1-169,M1-596
81,F1-225,M1-782
82,F1-209,M1-607
83,F1-174,M1-725
84,F1-225,M1-782
85,F1-174,M1-725
86,F1-174,M1-725
87,F1-169,M1-596
88,F1-210,M1-619
89,F1-190,M1-556
90,F1-221,M1-579
91,F1-210,M1-619
92,F1-190,M1-556
93,F1-169,M1-596
94,F1-162,M1-594
95,F1-190,M1-556
96,F1-189,M1-556
97,F1-225,M1-782
98,F1-202,M1-679
99,F1-233,M1-612
100,F1-217,M1-647
