order,dam,sire
12,F3-01,M3-23
23,F3-01,M3-23
33,F3-01,M3-23
50,F3-02,M3-23
57,F3-05,M3-24
95,F3-05,M3-24
98,F3-05,M3-24
79,F3-06,M3-76
91,F3-06,M3-76
99,F3-06,M3-76
24,F3-09,M3-90
48,F3-09,M3-90
59,F3-09,M3-90
17,F3-10,M3-29
27,F3-10,M3-29
56,F3-10,M3-29
11,F3-13,M3-94
22,F3-13,M3-94
25,F3-13,M3-94
30,F3-14,M3-95
70,F3-14,M3-95
89,F3-14,M3-95
29,F3-17,M3-35
77,F3-17,M3-35
84,F3-17,M3-35
82,F3-18,M3-68
37,F3-22,M3-41
41,F3-22,M3-41
63,F3-22,M3-41
85,F3-27,M3-87
88,F3-27,M3-87
47,F3-30,M3-83
62,F3-30,M3-83
81,F3-30,M3-83
42,F3-31,M3-83
46,F3-31,M3-83
60,F3-31,M3-83
10,F3-34,M3-54
49,F3-34,M3-54
54,F3-34,M3-54
20,F3-35,M3-54
38,F3-35,M3-54
67,F3-35,M3-54
3,F3-39,M3-72
26,F3-39,M3-72
36,F3-39,M3-72
40,F3-42,M3-07
68,F3-42,M3-07
76,F3-42,M3-07
73,F3-46,M3-05
90,F3-46,M3-05
93,F3-46,M3-05
9,F3-49,M3-11
64,F3-49,M3-11
66,F3-49,M3-11
8,F3-50,M3-12
52,F3-50,M3-12
74,F3-50,M3-12
28,F3-53,M3-22
97,F3-53,M3-22
100,F3-53,M3-22
51,F3-57,M3-67
83,F3-57,M3-67
94,F3-57,M3-67
13,F3-58,M3-68
35,F3-58,M3-68
43,F3-58,M3-68
1,F3-61,M3-08
14,F3-61,M3-08
72,F3-61,M3-08
44,F3-62,M3-08
55,F3-62,M3-08
58,F3-62,M3-08
4,F3-63,M3-04
31,F3-63,M3-04
34,F3-63,M3-04
19,F3-64,M3-04
39,F3-64,M3-04
45,F3-64,M3-04
71,F3-67,M3-18
78,F3-67,M3-18
86,F3-67,M3-18
7,F3-68,M3-18
18,F3-71,M3-58
21,F3-71,M3-58
75,F3-71,M3-58
6,F3-72,M3-58
15,F3-72,M3-58
16,F3-72,M3-58
32,F3-75,M3-61
69,F3-75,M3-61
2,F3-76,M3-61
65,F3-76,M3-61
80,F3-76,M3-61
5,F3-79,M3-62
53,F3-79,M3-62
87,F3-79,M3-62
61,F3-80,M3-62
92,F3-80,M3-62
96,F3-80,M3-62
