fish_id,car_perc,rank,selection
m2-01,6.48126760186506,61,not_selected
m2-02,23.0672538679302,1,up_selected
m2-03,11.1119531333709,20,up_selected
m2-04,4.41828640885818,87,down_selected
m2-05,2.95182780988026,95,down_selected
m2-06,4.89297952739346,79,down_selected
m2-07,12.0259934296923,15,up_selected
m2-08,6.70192512069993,58,not_selected
m2-09,6.50750367455115,60,not_selected
m2-10,10.0184914742027,28,up_selected
m2-100,3.56009735889242,91,down_selected
m2-11,4.87130025934318,80,down_selected
m2-12,2.78955488156729,96,down_selected
m2-13,5.28078738346127,74,down_selected
m2-14,7.88672647212296,44,not_selected
m2-15,10.2280921296574,25,up_selected
m2-16,5.17093609728707,77,down_selected
m2-17,9.42255679272803,34,not_selected
m2-18,4.85806354556747,81,down_selected
m2-19,9.34464135571012,36,not_selected
m2-20,8.50582021127854,42,not_selected
m2-21,6.82287650253945,56,not_selected
m2-22,2.47193739358965,99,down_selected
m2-23,3.26529250195146,92,down_selected
m2-24,2.48786502278077,98,down_selected
m2-25,15.0507980878424,9,up_selected
m2-26,4.65380964098281,84,down_selected
m2-27,5.01427509866698,78,down_selected
m2-28,5.70270586705779,68,not_selected
m2-29,8.60461003163775,41,not_selected
m2-30,9.01612077310287,37,not_selected
m2-31,5.29221724276697,73,down_selected
m2-32,3.20917744987219,93,down_selected
m2-33,9.65426462030839,30,up_selected
m2-34,10.2419038261453,24,up_selected
m2-35,11.4289961727254,17,up_selected
m2-36,12.6386152664026,14,up_selected
m2-37,7.33157807830099,52,not_selected
m2-38,7.85918220021243,45,not_selected
m2-39,4.48376911044721,86,down_selected
m2-40,9.54772084183227,31,not_selected
m2-41,5.37337774574302,70,not_selected
m2-42,19.2075877070839,3,up_selected
m2-43,11.1368217814136,19,up_selected
m2-44,8.76755343290416,38,not_selected
m2-45,8.68161096330867,40,not_selected
m2-46,7.59778974086141,49,not_selected
m2-47,5.55398668521255,69,not_selected
m2-48,18.4029108048543,4,up_selected
m2-49,4.75467655051109,83,down_selected
m2-50,8.76734624479908,39,not_selected
m2-51,7.32358631261893,53,not_selected
m2-52,15.4795379649487,7,up_selected
m2-53,9.38773944271123,35,not_selected
m2-54,20.3313714227527,2,up_selected
m2-55,5.27316503471636,75,down_selected
m2-56,11.7371194837055,16,up_selected
m2-57,16.3913822194443,5,up_selected
m2-58,6.31644943942132,64,not_selected
m2-59,7.84164889358903,46,not_selected
m2-60,7.71167482687297,47,not_selected
m2-61,5.35729169872655,72,down_selected
m2-62,7.24053457021456,54,not_selected
m2-63,8.46246388156619,43,not_selected
m2-64,10.1547283575344,26,up_selected
m2-65,11.3782897252016,18,up_selected
m2-66,13.2451349684477,13,up_selected
m2-67,9.49066018870534,33,not_selected
m2-68,3.59062800119474,90,down_selected
m2-69,7.62153114745339,48,not_selected
m2-70,3.8683356535202,88,down_selected
m2-71,6.46827553667718,62,not_selected
m2-72,5.79347372547194,66,not_selected
m2-73,5.21466098607744,76,down_selected
m2-74,15.3216245591399,8,up_selected
m2-75,15.9349462214779,6,up_selected
m2-76,10.9062782616538,21,up_selected
m2-77,13.5239826997113,12,up_selected
m2-78,10.5504988346175,23,up_selected
m2-79,9.92411225012806,29,up_selected
m2-80,9.51538573559144,32,not_selected
m2-81,10.0985683959565,27,up_selected
m2-82,6.77863821871049,57,not_selected
m2-83,5.36968923422575,71,down_selected
m2-84,4.53400681272125,85,down_selected
m2-85,6.21280512706237,65,not_selected
m2-86,6.98724368663029,55,not_selected
m2-87,14.4564638492494,10,up_selected
m2-88,6.69496013953958,59,not_selected
m2-89,3.06763590200469,94,down_selected
m2-90,4.7691319725462,82,down_selected
m2-91,6.43417374106427,63,not_selected
m2-92,7.35153207496683,51,not_selected
m2-93,13.6353459722545,11,up_selected
m2-94,7.56517431288726,50,not_selected
m2-95,10.8081533420633,22,up_selected
m2-96,2.00859396287638,100,down_selected
m2-97,5.75650503510989,67,not_selected
m2-98,2.7005798000817,97,down_selected
m2-99,3.81105755606259,89,down_selected
