order,dam,sire
9,F1-103,M1-436
24,F1-103,M1-436
42,F1-103,M1-436
77,F1-104,M1-436
80,F1-104,M1-436
83,F1-104,M1-436
4,F1-107,M1-213
12,F1-107,M1-213
25,F1-107,M1-213
2,F1-108,M1-213
8,F1-108,M1-213
21,F1-108,M1-213
65,F1-111,M1-378
67,F1-111,M1-378
70,F1-111,M1-378
3,F1-112,M1-378
5,F1-112,M1-378
13,F1-112,M1-378
45,F1-115,M1-411
97,F1-115,M1-411
98,F1-115,M1-411
99,F1-116,M1-411
44,F1-119,M1-279
49,F1-119,M1-279
68,F1-119,M1-279
23,F1-123,M1-261
34,F1-123,M1-261
59,F1-123,M1-261
39,F1-124,M1-194
58,F1-124,M1-194
60,F1-124,M1-194
1,F1-127,M1-445
35,F1-127,M1-445
51,F1-127,M1-445
63,F1-131,M1-362
95,F1-131,M1-362
62,F1-132,M1-353
69,F1-132,M1-353
78,F1-132,M1-353
10,F1-135,M1-433
91,F1-135,M1-433
93,F1-135,M1-433
96,F1-136,M1-124
33,F1-139,M1-375
37,F1-139,M1-375
56,F1-139,M1-375
26,F1-140,M1-265
64,F1-140,M1-265
85,F1-140,M1-265
28,F1-142,M1-365
84,F1-142,M1-365
87,F1-142,M1-365
7,F1-145,M1-165
61,F1-145,M1-165
73,F1-145,M1-165
22,F1-149,M1-260
48,F1-149,M1-260
50,F1-149,M1-260
27,F1-153,M1-376
38,F1-153,M1-376
43,F1-153,M1-376
11,F1-154,M1-376
14,F1-154,M1-376
29,F1-154,M1-376
72,F1-157,M1-364
74,F1-157,M1-364
82,F1-157,M1-364
36,F1-158,M1-364
46,F1-158,M1-364
47,F1-158,M1-364
66,F1-81,M1-354
88,F1-81,M1-354
94,F1-81,M1-354
19,F1-82,M1-193
57,F1-82,M1-193
76,F1-82,M1-193
15,F1-85,M1-316
18,F1-85,M1-316
20,F1-85,M1-316
6,F1-86,M1-298
40,F1-86,M1-298
41,F1-86,M1-298
54,F1-89,M1-217
71,F1-89,M1-217
75,F1-89,M1-447
89,F1-89,M1-447
90,F1-89,M1-217
92,F1-89,M1-447
16,F1-90,M1-299
31,F1-90,M1-299
32,F1-90,M1-299
17,F1-93,M1-175
55,F1-93,M1-175
79,F1-93,M1-175
81,F1-94,M1-355
86,F1-94,M1-355
100,F1-94,M1-355
30,F1-97,M1-214
52,F1-97,M1-214
53,F1-97,M1-214
