dam,sire,n
F3-161,M3-549,3
F3-162,M3-654,1
F3-169,M3-400,3
F3-178,M3-398,2
F3-184,M3-427,2
F3-189,M3-559,3
F3-202,M3-460,1
F3-205,M3-511,3
F3-206,M3-514,2
F3-210,M3-731,2
F3-217,M3-598,3
F3-218,M3-574,2
F3-221,M3-481,3
F3-222,M3-481,1
F3-226,M3-611,1
F3-229,M3-576,3
F3-230,M3-576,1
F3-233,M3-607,3
F3-238,M3-724,1
