fish_id,car_perc,rank,selection
m3-01,15.1741076285893,2,up_selected
m3-02,6.58504990329561,60,not_selected
m3-03,4.50304421451325,93,down_selected
m3-04,15.8422421024291,1,up_selected
m3-05,11.4655425788154,9,up_selected
m3-06,4.85047349211789,88,down_selected
m3-07,13.7971079321162,6,up_selected
m3-08,8.95430859226405,27,up_selected
m3-09,5.53386603708744,77,down_selected
m3-10,7.44176318359476,47,not_selected
m3-100,6.48131910015327,62,not_selected
m3-11,9.83816695813095,18,up_selected
m3-12,8.83575896045318,29,up_selected
m3-13,8.43269569104758,34,not_selected
m3-14,8.4570840705905,33,not_selected
m3-15,1.74868956985885,100,down_selected
m3-16,4.65745924534537,90,down_selected
m3-17,5.4944216548119,79,down_selected
m3-18,10.6336100440878,15,up_selected
m3-19,8.5117557236952,32,not_selected
m3-20,6.33725450461524,65,not_selected
m3-21,6.8152350794594,57,not_selected
m3-22,10.9479636203442,11,up_selected
m3-23,9.53048038438647,24,up_selected
m3-24,9.50310990356136,25,up_selected
m3-25,8.0079222943814,39,not_selected
m3-26,7.20550349664235,52,not_selected
m3-27,7.05762716167605,54,not_selected
m3-28,5.0947887085172,86,down_selected
m3-29,12.0431232132577,8,up_selected
m3-30,5.77708238610851,74,down_selected
m3-31,4.31179208831069,96,down_selected
m3-32,8.37906810534863,35,not_selected
m3-33,2.56446303971078,99,down_selected
m3-34,4.30563116966587,97,down_selected
m3-35,11.3251394477118,10,up_selected
m3-36,7.92603848173513,40,not_selected
m3-37,8.20236886727406,37,not_selected
m3-38,8.26721946277266,36,not_selected
m3-39,5.59204251993448,76,down_selected
m3-40,7.66071229137211,44,not_selected
m3-41,15.1442359853254,3,up_selected
m3-42,5.30681051723568,81,down_selected
m3-43,6.09355274101744,69,not_selected
m3-44,6.61312443419392,59,not_selected
m3-45,7.86805214466911,43,not_selected
m3-46,5.21567525185867,83,down_selected
m3-47,5.50381189011041,78,down_selected
m3-48,6.88735574864892,56,not_selected
m3-49,4.34767772922517,95,down_selected
m3-50,3.97212868115019,98,down_selected
m3-51,7.2413356817503,51,not_selected
m3-52,7.8746685920485,42,not_selected
m3-53,4.50498400040257,92,down_selected
m3-54,13.9791710541525,5,up_selected
m3-55,5.8009112890863,73,down_selected
m3-56,5.65979865786307,75,down_selected
m3-57,7.5487732939929,46,not_selected
m3-58,14.2874837087368,4,up_selected
m3-59,10.8791982160647,13,up_selected
m3-60,7.44136546418856,48,not_selected
m3-61,9.8684363228755,17,up_selected
m3-62,9.73376917495546,22,up_selected
m3-63,6.21146970864289,67,not_selected
m3-64,6.55482983402645,61,not_selected
m3-65,6.36941298553191,64,not_selected
m3-66,4.52508995471451,91,down_selected
m3-67,9.65659876090164,23,up_selected
m3-68,9.7583788530528,21,up_selected
m3-69,5.19426369927286,84,down_selected
m3-70,4.88932648347011,87,down_selected
m3-71,7.28116907651234,50,not_selected
m3-72,10.8830267634446,12,up_selected
m3-73,7.17702863690701,53,not_selected
m3-74,4.74576429564999,89,down_selected
m3-75,6.40342925179742,63,not_selected
m3-76,10.0136371178201,16,up_selected
m3-77,6.99574719245468,55,not_selected
m3-78,5.27414368798966,82,down_selected
m3-79,6.72973446923641,58,not_selected
m3-80,6.07840943382116,70,not_selected
m3-81,4.44236854029935,94,down_selected
m3-82,7.55759924299131,45,not_selected
m3-83,12.5413435096653,7,up_selected
m3-84,5.91257914601407,72,down_selected
m3-85,7.3339436305761,49,not_selected
m3-86,9.83234679904176,19,up_selected
m3-87,9.24798457259083,26,up_selected
m3-88,5.43493212153229,80,down_selected
m3-89,5.96983221365205,71,down_selected
m3-90,10.7494019497237,14,up_selected
m3-91,6.17254328257361,68,not_selected
m3-92,7.89508902566521,41,not_selected
m3-93,8.02762092769831,38,not_selected
m3-94,9.82605379195712,20,up_selected
m3-95,8.69026441762316,30,up_selected
m3-96,5.1722726105524,85,down_selected
m3-97,6.31068858310655,66,not_selected
m3-98,8.55568983378552,31,not_selected
m3-99,8.86014080260297,28,up_selected
