dam,sire,n
F2-161,M2-718,1
F2-166,M2-583,2
F2-169,M2-432,1
F2-170,M2-544,3
F2-173,M2-584,3
F2-178,M2-465,2
F2-180,M2-717,3
F2-181,M2-717,1
F2-188,M2-431,2
F2-193,M2-608,1
F2-201,M2-700,3
F2-205,M2-768,2
F2-209,M2-498,1
F2-210,M2-598,1
F2-217,M2-549,1
F2-226,M2-472,1
F2-230,M2-597,3
F2-233,M2-620,3
F2-234,M2-620,3
F2-237,M2-667,2
F2-238,M2-667,1
