dam,sire,n
F1-163,M1-559,3
F1-167,M1-663,1
F1-179,M1-504,1
F1-184,M1-673,2
F1-187,M1-494,1
F1-191,M1-723,2
F1-192,M1-723,1
F1-196,M1-805,3
F1-200,M1-505,2
F1-203,M1-450,3
F1-207,M1-799,3
F1-211,M1-716,3
F1-212,M1-761,1
F1-215,M1-797,1
F1-216,M1-615,2
F1-219,M1-717,3
F1-220,M1-719,1
F1-223,M1-810,1
F1-224,M1-810,1
F1-227,M1-459,2
F1-228,M1-459,2
F1-240,M1-832,1
