date,fish_id,car_perc,sire,dam,date_of_birth,selection
20210317,m2-107,4.12107358670887,m2-89,f2-58,2021-01-03,down_selected
20210406,m2-184,3.02755018449326,m2-22,f2-23,2021-01-12,down_selected
20210419,m2-223,3.47953734831909,m2-99,f2-69,2021-01-17,down_selected
20210420,m2-237,3.18669663862916,m2-96,f2-77,2021-01-17,down_selected
20210421,m2-250,4.34066272370342,m2-39,f2-41,2021-01-17,down_selected
20210430,m2-278,4.47674756713202,m2-12,f2-12,2021-01-19,down_selected
20210430,m2-279,4.17414432646751,m2-12,f2-12,2021-01-19,down_selected
20210430,m2-281,4.04831753145983,m2-12,f2-12,2021-01-19,down_selected
20210503,m2-293,4.01446866644922,m2-31,f2-31,2021-01-21,down_selected
20210505,m2-301,3.14325211653977,m2-90,f2-61,2021-01-23,down_selected
20210507,m2-302,4.45131673296159,m2-90,f2-61,2021-01-23,down_selected
20210507,m2-304,1.74957286090772,m2-90,f2-61,2021-01-23,down_selected
20210507,m2-308,4.00324300944537,m2-99,f2-70,2021-01-23,down_selected
20210512,m2-335,2.54656991779558,m2-32,f2-35,2021-01-23,down_selected
20210512,m2-336,0.105358613444722,m2-32,f2-35,2021-01-23,down_selected
20210512,m2-342,4.05613287835819,m2-100,f2-66,2021-01-25,down_selected
20210512,m2-343,4.07076019373497,m2-100,f2-66,2021-01-25,down_selected
20210517,m2-368,4.11752018415047,m2-89,f2-58,2021-01-26,down_selected
20210517,m2-369,3.67209633368565,m2-89,f2-58,2021-01-26,down_selected
20210521,m2-382,4.42363759614978,m2-24,f2-38,,down_selected
20210526,m2-390,3.3020475386243,m2-23,f2-09,,down_selected
20210526,m2-391,3.88129086477624,m2-23,f2-09,,down_selected
20210526,m2-393,4.22166461973415,m2-23,f2-09,,down_selected
20210526,m2-396,3.47548070580872,m2-70,f2-50,,down_selected
20210527,m2-397,4.438481331155,m2-70,f2-50,,down_selected
20210528,m2-402,3.63565831774781,m2-05,f2-05,,down_selected
20210528,m2-405,4.24477098116329,m2-73,f2-54,,down_selected
20210531,m2-419,4.24191246844298,m2-31,f2-30,,down_selected
20210601,m2-420,2.40906105730288,m2-22,f2-23,,down_selected
20210601,m2-421,2.84984489589956,m2-22,f2-23,,down_selected
